age,female,"bs(age, df=5, degree=2, include_intercept=False)[0]","bs(age, df=5, degree=2, include_intercept=False)[1]","bs(age, df=5, degree=2, include_intercept=False)[2]","bs(age, df=5, degree=2, include_intercept=False)[3]","bs(age, df=5, degree=2, include_intercept=False)[4]","bs(age, df=5, degree=2, include_intercept=False)[0]:female","bs(age, df=5, degree=2, include_intercept=False)[1]:female","bs(age, df=5, degree=2, include_intercept=False)[2]:female","bs(age, df=5, degree=2, include_intercept=False)[3]:female","bs(age, df=5, degree=2, include_intercept=False)[4]:female"
40.0,0,0.032679738562091505,0.7181853133410228,0.2491349480968858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,1,0.032679738562091505,0.7181853133410228,0.2491349480968858,0.0,0.0,0.032679738562091505,0.7181853133410228,0.2491349480968858,0.0,0.0
40.083,0,0.031599491648511224,0.7157933380323807,0.2526071703191082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.083,1,0.031599491648511224,0.7157933380323807,0.2526071703191082,0.0,0.0,0.031599491648511224,0.7157933380323807,0.2526071703191082,0.0,0.0
40.167,0,0.03053740014524322,0.7133591780938953,0.25610342176086137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.167,1,0.03053740014524322,0.7133591780938953,0.25610342176086137,0.0,0.0,0.03053740014524322,0.7133591780938953,0.25610342176086137,0.0,0.0
40.25,0,0.02949346405228749,0.7108828335255668,0.2596237024221456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.25,1,0.02949346405228749,0.7108828335255668,0.2596237024221456,0.0,0.0,0.02949346405228749,0.7108828335255668,0.2596237024221456,0.0,0.0
40.333,0,0.028467683369644035,0.7083643043273951,0.2631680123029608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.333,1,0.028467683369644035,0.7083643043273951,0.2631680123029608,0.0,0.0,0.028467683369644035,0.7083643043273951,0.2631680123029608,0.0,0.0
40.417,0,0.02746005809731286,0.7058035904993802,0.266736351403307,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.417,1,0.02746005809731286,0.7058035904993802,0.266736351403307,0.0,0.0,0.02746005809731286,0.7058035904993802,0.266736351403307,0.0,0.0
40.5,0,0.02647058823529395,0.7032006920415221,0.270328719723184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.5,1,0.02647058823529395,0.7032006920415221,0.270328719723184,0.0,0.0,0.02647058823529395,0.7032006920415221,0.270328719723184,0.0,0.0
40.583,0,0.025499273783587316,0.7005556089538206,0.273945117262592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.583,1,0.025499273783587316,0.7005556089538206,0.273945117262592,0.0,0.0,0.025499273783587316,0.7005556089538206,0.273945117262592,0.0,0.0
40.667,0,0.024546114742192957,0.6978683412362761,0.277585544021531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.667,1,0.024546114742192957,0.6978683412362761,0.277585544021531,0.0,0.0,0.024546114742192957,0.6978683412362761,0.277585544021531,0.0,0.0
40.75,0,0.023611111111110875,0.6951388888888882,0.28125000000000094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.75,1,0.023611111111110875,0.6951388888888882,0.28125000000000094,0.0,0.0,0.023611111111110875,0.6951388888888882,0.28125000000000094,0.0,0.0
40.833,0,0.022694262890341065,0.6923672519116572,0.28493848519800186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.833,1,0.022694262890341065,0.6923672519116572,0.28493848519800186,0.0,0.0,0.022694262890341065,0.6923672519116572,0.28493848519800186,0.0,0.0
40.917,0,0.021795570079883527,0.6895534303045828,0.28865099961553364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.917,1,0.021795570079883527,0.6895534303045828,0.28865099961553364,0.0,0.0,0.021795570079883527,0.6895534303045828,0.28865099961553364,0.0,0.0
41.0,0,0.020915032679738266,0.6866974240676653,0.2923875432525964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,1,0.020915032679738266,0.6866974240676653,0.2923875432525964,0.0,0.0,0.020915032679738266,0.6866974240676653,0.2923875432525964,0.0,0.0
41.083,0,0.020052650689905277,0.6837992332009045,0.2961481161091902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.083,1,0.020052650689905277,0.6837992332009045,0.2961481161091902,0.0,0.0,0.020052650689905277,0.6837992332009045,0.2961481161091902,0.0,0.0
41.167,0,0.01920842411038456,0.6808588577043005,0.29993271818531486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.167,1,0.01920842411038456,0.6808588577043005,0.29993271818531486,0.0,0.0,0.01920842411038456,0.6808588577043005,0.29993271818531486,0.0,0.0
41.25,0,0.018382352941176124,0.6778762975778534,0.30374134948097053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.25,1,0.018382352941176124,0.6778762975778534,0.30374134948097053,0.0,0.0,0.018382352941176124,0.6778762975778534,0.30374134948097053,0.0,0.0
41.333,0,0.017574437182279957,0.6748515528215631,0.3075740099961571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.333,1,0.017574437182279957,0.6748515528215631,0.3075740099961571,0.0,0.0,0.017574437182279957,0.6748515528215631,0.3075740099961571,0.0,0.0
41.417,0,0.016784676833696065,0.6717846234354292,0.31143069973087456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.417,1,0.016784676833696065,0.6717846234354292,0.31143069973087456,0.0,0.0,0.016784676833696065,0.6717846234354292,0.31143069973087456,0.0,0.0
41.5,0,0.016013071895424447,0.6686755094194524,0.3153114186851231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.5,1,0.016013071895424447,0.6686755094194524,0.3153114186851231,0.0,0.0,0.016013071895424447,0.6686755094194524,0.3153114186851231,0.0,0.0
41.583,0,0.015259622367465104,0.6655242107736323,0.31921616685890253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.583,1,0.015259622367465104,0.6655242107736323,0.31921616685890253,0.0,0.0,0.015259622367465104,0.6655242107736323,0.31921616685890253,0.0,0.0
41.667,0,0.014524328249818032,0.6623307274979691,0.32314494425221296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.667,1,0.014524328249818032,0.6623307274979691,0.32314494425221296,0.0,0.0,0.014524328249818032,0.6623307274979691,0.32314494425221296,0.0,0.0
41.75,0,0.013807189542483236,0.6590950595924625,0.32709775086505427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.75,1,0.013807189542483236,0.6590950595924625,0.32709775086505427,0.0,0.0,0.013807189542483236,0.6590950595924625,0.32709775086505427,0.0,0.0
41.833,0,0.013108206245460713,0.6558172070571127,0.33107458669742656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.833,1,0.013108206245460713,0.6558172070571127,0.33107458669742656,0.0,0.0,0.013108206245460713,0.6558172070571127,0.33107458669742656,0.0,0.0
41.917,0,0.012427378358750468,0.6524971698919197,0.3350754517493298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.917,1,0.012427378358750468,0.6524971698919197,0.3350754517493298,0.0,0.0,0.012427378358750468,0.6524971698919197,0.3350754517493298,0.0,0.0
42.0,0,0.011764705882352493,0.6491349480968834,0.339100346020764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,1,0.011764705882352493,0.6491349480968834,0.339100346020764,0.0,0.0,0.011764705882352493,0.6491349480968834,0.339100346020764,0.0,0.0
42.083,0,0.011120188816266795,0.645730541672004,0.34314926951172914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.083,1,0.011120188816266795,0.645730541672004,0.34314926951172914,0.0,0.0,0.011120188816266795,0.645730541672004,0.34314926951172914,0.0,0.0
42.167,0,0.010493827160493371,0.6422839506172814,0.34722222222222526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.167,1,0.010493827160493371,0.6422839506172814,0.34722222222222526,0.0,0.0,0.010493827160493371,0.6422839506172814,0.34722222222222526,0.0,0.0
42.25,0,0.00988562091503222,0.6387951749327154,0.35131920415225226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.25,1,0.00988562091503222,0.6387951749327154,0.35131920415225226,0.0,0.0,0.00988562091503222,0.6387951749327154,0.35131920415225226,0.0,0.0
42.333,0,0.009295570079883343,0.6352642146183063,0.3554402153018103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.333,1,0.009295570079883343,0.6352642146183063,0.3554402153018103,0.0,0.0,0.009295570079883343,0.6352642146183063,0.3554402153018103,0.0,0.0
42.417,0,0.00872367465504674,0.631691069674054,0.3595852556708992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.417,1,0.00872367465504674,0.631691069674054,0.3595852556708992,0.0,0.0,0.00872367465504674,0.631691069674054,0.3595852556708992,0.0,0.0
42.5,0,0.008169934640522411,0.6280757400999585,0.3637543252595192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.5,1,0.008169934640522411,0.6280757400999585,0.3637543252595192,0.0,0.0,0.008169934640522411,0.6280757400999585,0.3637543252595192,0.0,0.0
42.583,0,0.007634350036310357,0.6244182258960197,0.36794742406767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
