age,Normal,Elevated,Stage 1,Stage 2,Normal 2.5%,Normal 97.5%,Elevated 2.5%,Elevated 97.5%,Stage 1 2.5%,Stage 1 97.5%,Stage 2 2.5%,Stage 2 97.5%
40,0.3516126895820915,0.14808927743559175,0.3535333465792437,0.14676468640307305,0.3439967494419452,0.35922862972223785,0.14242384782903308,0.1537547070421504,0.3459079531745245,0.36115873998396286,0.1411202680571501,0.152409104748996
41,0.3355888182625931,0.14886200533114619,0.3570500991046408,0.15849907730161986,0.32793755239483674,0.3432400841303495,0.1430943007583588,0.15462970990393357,0.34928647979209115,0.36481371841719046,0.1525813935353312,0.1644167610679085
42,0.3319516172873063,0.14372111986952976,0.3570943191084534,0.1672329437347105,0.32434319595857697,0.3395600386160357,0.13805323377347298,0.14938900596558655,0.3493529405776965,0.3648356976392103,0.16120351887930265,0.17326236859011837
43,0.3385159010600707,0.14840989399293286,0.35159010600706714,0.16148409893992932,0.3307190522593944,0.34631274986074695,0.1425523359323475,0.15426745205351822,0.34372303608388,0.3594571759302543,0.155421059340992,0.16754713853886663
44,0.3219992960225273,0.14649771207321366,0.3655051038366772,0.16599788806758184,0.31431560300330524,0.32968298904174936,0.14068277207379723,0.1523126520726301,0.3575857771028418,0.37342443057051267,0.1598791434299419,0.1721166327052218
45,0.3185677894140957,0.14576846872346447,0.36746391168978204,0.1681998301726578,0.31088606828631193,0.32624951054187945,0.1399505738238406,0.15158636362308833,0.35951520854777064,0.37541261483179345,0.1620329067523828,0.1743667535929328
46,0.308543973260915,0.14831836223104242,0.3631362718473644,0.18000139266067822,0.3009896325711621,0.31609831395066784,0.1425054756060706,0.15413124885601423,0.3552709984627137,0.3710015452320151,0.17371791261947628,0.18628487270188016
47,0.3069946406486189,0.14642022811598185,0.36519169987632266,0.18139343135907654,0.29950103906027065,0.3144882422369672,0.14067669006509165,0.15216376616687205,0.3573693244946152,0.3730140752580301,0.17513298503325475,0.18765387768489833
48,0.30258107213765717,0.1484447385837194,0.3704831237590999,0.17849106551952348,0.29525647736845023,0.3099056669068641,0.14277576175609885,0.15411371541133995,0.3627828926071416,0.37818335491105826,0.17238543885376428,0.18459669218528268
49,0.30216972994492736,0.1552650786278283,0.35571627629221686,0.18684891513502755,0.29483848995688783,0.3095009699329669,0.14948313072743727,0.1610470265282193,0.3480732121405245,0.3633593404439092,0.18062579809034549,0.1930720321797096
50,0.2931270804777756,0.15495072123229553,0.3646628810129887,0.18725931727694015,0.2859192730002877,0.3003348879552635,0.14922088309829812,0.16068055936629294,0.3570411708620608,0.37228459116391666,0.18108196665487858,0.1934366678990017
51,0.28942426008678196,0.15193316495045658,0.36733372190920277,0.19130885305355871,0.28227134559531436,0.29657717457824956,0.14627140161299024,0.15759492828792293,0.3597299667795634,0.3749374770388421,0.1851048892126688,0.19751281689444863
