quantiles,intercept,age_beta,female_beta,noplace_beta,poor_beta,education_L12_beta,singlefamily_beta,crowded_beta,rented_beta,notemployed_beta
0.01,73.24590163934427,-0.393442622950819,-4.000000000000017,-0.9508196721311194,-4.7213114754097925,-1.7704918032787005,-1.081967213114786,-0.2295081967210965,-1.2131147540986138,4.491803278689776
0.02,72.66666666666566,-0.3333333333333205,-4.6666666666664325,-0.999999999999516,-2.000000000000069,-1.9999999999999345,-1.9999999999998175,0.33333333333299636,2.5972907603924614e-14,2.3333333333335515
0.03,71.42857142857235,-0.28571428571430874,-3.714285714286035,-1.7142857142856918,-1.1428571428573508,-1.9999999999996734,-1.7142857142854768,-0.5714285714286795,1.4285714285714612,1.714285714285846
0.04,72.57142857142857,-0.2857142857142852,-3.142857142857152,-1.1428571428571301,-1.857142857142861,-1.1428571428571535,-1.5714285714285712,-1.0000000000000078,1.4285714285714308,1.0000000000000127
0.05,72.6930693069304,-0.27722772277227326,-2.8910891089108492,0.21782178217826326,-2.514851485148557,-1.2475247524751445,-1.4653465346533405,-1.1683168316830232,1.8613861386137884,0.9108910891090028
0.06,73.34246575342446,-0.2739726027397215,-3.0958904109589462,-0.13698630137000697,-2.9589041095888637,-0.6575342465752281,-1.2328767123288562,-0.7123287671233558,2.082191780821987,0.9041095890411188
0.07,73.60962566844921,-0.26737967914438526,-2.631016042780796,-0.005347593582915084,-3.0909090909090806,-0.4866310160427881,-1.7486631016042447,-0.8181818181817985,1.7647058823529655,0.3208556149732759
0.08,74.66666666666711,-0.26666666666667793,-2.399999999999933,-0.2666666666666546,-2.666666666666613,-1.0666666666663593,-1.066666666666892,-0.8000000000000308,0.9333333333334599,0.9333333333329425
0.09,74.49999999999999,-0.25000000000000033,-2.2500000000000027,-0.4999999999998581,-2.750000000000011,-0.5000000000000311,-1.7500000000000107,-1.2499999999960516,0.9999999999999989,1.749999999999841
0.1,75.4871794871795,-0.25641025641025644,-2.5641025641025563,-0.1538461538461651,-2.2051282051282066,-0.5641025641026549,-2.153846153846165,-0.6666666666655326,1.025641025641026,1.487179487179608
0.11,76.32258064516124,-0.2580645161290318,-2.451612903225823,1.3232285843230528e-14,-2.000000000000036,-0.7096774193547917,-2.322580645161283,-0.5161290322581402,0.32258064516130175,2.774193548387171
0.12000000000000001,76.25000000000004,-0.2500000000000008,-2.2500000000000018,-3.073532282444634e-15,-1.9999999999999616,-0.5000000000000359,-1.7500000000016729,-0.25000000000014905,2.623598540047563e-14,2.5000000000000124
0.13,76.5000000000002,-0.25000000000000283,-2.0000000000000457,7.553810587538982e-16,-1.999999999999999,-0.49999999999992384,-2.249999999999985,-1.4129964871811632e-13,0.24999999999995373,2.25000000000005
0.14,76.27027027027029,-0.23423423423423428,-2.1981981981981913,0.2702702702702707,-1.6936936936936902,-0.6306306306306334,-1.7297297297297294,0.234234234234252,-0.1981981981981852,2.3063063063062907
0.15000000000000002,77.04000000000002,-0.2400000000000001,-2.3600000000029273,0.4799999999999841,-1.6399999999970982,-0.4800000000000174,-2.000000000006725,0.0800000000009066,-0.11999999999706977,2.6400000000000037
0.16,77.39393939393942,-0.24242424242424282,-2.1818181818181874,0.5454545454545265,-1.4545454545454677,2.243127502629767e-15,-1.9999999999999343,-0.060606060606065174,-0.30303030303030626,2.9090909090909505
0.17,78.1397849462362,-0.24731182795698123,-2.3548387096777255,0.602150537634709,-1.021505376344128,-0.19354838709661318,-1.9677419354837604,-0.4086021505373366,-0.16129032258039117,2.698924731182639
0.18,78.32000000003305,-0.24000000000048613,-2.720000000001438,0.5599999999970898,-0.7999999999854186,-0.32000000000875467,-1.999999999999981,-0.24000000001261382,-1.2169488612892114e-11,2.639999999981064
0.19,78.35294117647062,-0.23529411764706035,-2.705882352941156,0.7058823529411877,-0.8235294117646806,-0.23529411764704447,-2.000000000000016,4.829577769242244e-14,-9.04147272410124e-15,2.4705882352941395
0.2,77.99999999999999,-0.22222222222222152,-2.888888888888889,0.8888888888888473,-0.8888888888888772,-0.22222222222226468,-1.777777777777891,1.0087675263025088e-13,-1.0508858670714215e-14,2.2222222222222023
0.21000000000000002,78.21428571428605,-0.21428571428572019,-3.142857142857115,0.5714285714284724,-1.0714285714284975,-0.21428571428582363,-1.7142857142855346,0.14285714285715276,-0.21428571428571772,2.4285714285712796
