quantiles,intercept,age_beta,female_beta,noplace_beta,poor_beta,education_L12_beta,singlefamily_beta,crowded_beta,rented_beta,notemployed_beta
0.01,90.85714285714279,0.11428571428571492,-5.599999999999974,2.342857142857152,0.4000000000000323,1.3142857142856992,0.9142857142856866,-1.0285714285713587,-1.4857142857142838,0.5142857142856461
0.02,90.36879432624103,0.156028368794322,-4.326241134751451,1.4609929077953594,1.56028368794318,1.1489361702127092,-0.5248226950354107,-1.0212765957444856,0.18439716312701762,0.05673758864589184
0.03,89.31034482758623,0.20689655172413732,-4.689655172413772,1.241379310344802,2.4137931034424915,1.5172413793103596,-1.5172413793103643,-1.3103448275861993,-0.551724137931024,-0.20689655171834115
0.04,90.80000000000028,0.19999999999999676,-4.400000000000127,0.9999999999998576,1.4000000000001105,1.1999999999999391,-0.20000000000020293,-1.8000000000000327,1.199999999999936,-1.6002201398222908e-13
0.05,92.00000000000004,0.19999999999999915,-4.000000000000007,1.799999999999693,0.59999999999997,1.3999999999997002,-0.3999999999999655,-2.9999999999999645,1.6000000000000265,-0.3999999999997103
0.06,93.63636363636365,0.18181818181818202,-3.8181818181818428,1.6363636363636707,0.18181818181819454,1.6363636363637843,0.1818181818182429,-3.0909090909090873,1.6363636363635936,6.468092075465537e-14
0.07,93.40000000000008,0.19999999999999873,-3.200000000000014,1.3999999999999877,0.2000000000000077,1.9999999999999993,-0.6000000000000008,-3.0000000000000036,1.1999999999999986,2.0904250337228643e-14
0.08,93.58974358974497,0.20512820512818758,-2.8717948717953043,1.7948717948711095,-5.79987021529566e-14,2.000000000000019,-1.487179487179185,-2.6153846153852385,1.3333333333328694,0.7692307692309324
0.09,94.59999999999981,0.20000000000000287,-2.9999999999999702,1.533333333333236,0.1333333333331284,2.2666666666669446,-1.7333333333331886,-2.93333333333333,1.06666666666682,0.4000000000000044
0.1,95.1428571428572,0.20408163265306065,-3.4693877551020695,1.551020408163251,0.6122448979591946,2.285714285714326,-1.9999999999999958,-2.6530612244898264,1.5102040816326325,-3.833185632166402e-14
0.11,95.58620689655157,0.2068965517241409,-3.7241379310344516,1.6551724137930675,0.5517241379310412,2.1379310344828246,-0.8965517241379057,-2.6896551724137368,1.9310344827586396,-0.6206896551724347
0.12000000000000001,94.82352941176462,0.23529411764705976,-3.6470588235294126,1.2941176470588265,0.8235294117647048,2.000000000000018,-0.8235294117647305,-2.352941176470608,2.000000000000028,-0.4705882352941239
