,age,prevalence,mean_n_alive,mean_n_htn,n_months
0,40,0.526442455399368,99782.33333333333,52529.333333333336,12
1,41,0.5336604990611712,99317.66666666667,53001.666666666664,12
2,42,0.5423920792690307,98837.66666666667,53608.333333333336,12
3,43,0.5511557900025491,98358.66666666667,54210.666666666664,12
4,44,0.5573104627440717,97851.83333333333,54533.666666666664,12
5,45,0.5625689780188984,97357.58333333333,54770.083333333336,12
6,46,0.5694245341137185,96832.5,55138.5,12
7,47,0.5769695330996587,96285.5,55553.416666666664,12
8,48,0.5833223976418017,95727.75,55839.916666666664,12
9,49,0.5895198818400779,95185.08333333333,56113.166666666664,12
10,50,0.5966284660591695,94624.41666666667,56455.25,12
11,51,0.604289317041664,93999.83333333333,56802.666666666664,12
12,52,0.6101449974348344,93319.75,56938.416666666664,12
13,53,0.614546420266531,92591.41666666667,56901.416666666664,12
14,54,0.6198669421871303,91798.58333333333,56902.5,12
15,55,0.6248243546780542,90955.58333333333,56830.916666666664,12
16,56,0.6282101433760267,90092.16666666667,56596.75,12
17,57,0.6315431689721273,89185.5,56324.083333333336,12
18,58,0.6349507625457966,88209.91666666667,56008.833333333336,12
19,59,0.6385250258957933,87176.16666666667,55663.75,12
20,60,0.6404148743370418,86031.66666666667,55096.166666666664,12
21,61,0.6412305862523967,84847.25,54406.25,12
22,62,0.6434124713823764,83556.16666666667,53761.0,12
23,63,0.6456691655566167,82209.66666666667,53079.833333333336,12
24,64,0.6462003008695018,80832.33333333333,52234.25,12
25,65,0.6462034108126872,79401.41666666667,51309.166666666664,12
26,66,0.64850682317595,77946.0,50548.166666666664,12
27,67,0.6525169595059203,76329.0,49805.416666666664,12
28,68,0.6530895035029399,74662.5,48761.666666666664,12
29,69,0.6532471841014896,72971.33333333333,47667.833333333336,12
30,70,0.656670839100058,71161.5,46729.25,12
31,71,0.6584316686355314,69195.58333333333,45560.0,12
32,72,0.6590267178805761,67167.83333333333,44265.916666666664,12
33,73,0.6584145271218754,65077.916666666664,42847.833333333336,12
34,74,0.661086481941094,62984.833333333336,41638.0,12
35,75,0.6638792796464505,60715.5,40307.083333333336,12
36,76,0.6639246059381386,58296.583333333336,38705.416666666664,12
37,77,0.66120687119348,55766.083333333336,36872.833333333336,12
38,78,0.6618050066831201,53246.583333333336,35238.5,12
39,79,0.663891310375308,50657.916666666664,33630.666666666664,12
40,80,0.663384350232383,48023.166666666664,31859.166666666668,12
41,81,0.6602710238123174,45397.166666666664,29974.5,12
42,82,0.6600070576168903,42686.416666666664,28173.5,12
43,83,0.6591519591717002,39895.166666666664,26297.333333333332,12
44,84,0.6543015895562002,37108.833333333336,24282.166666666668,12
45,85,0.6495704048087999,34328.333333333336,22298.916666666668,12
46,86,0.647723719854789,31439.0,20364.083333333332,12
47,87,0.6476503428259331,28467.0,18436.333333333332,12
48,88,0.6423664923796323,25536.916666666668,16406.666666666668,12
49,89,0.6360772263425031,22688.75,14431.916666666666,12
50,90,0.634345027619572,19945.166666666668,12652.583333333334,12
51,91,0.6330073397382744,17278.5,10937.583333333334,12
52,92,0.6274871562803069,14792.416666666666,9283.75,12
53,93,0.6198741670338964,12537.916666666666,7773.083333333333,12
54,94,0.6142050356197557,10458.083333333334,6423.833333333333,12
55,95,0.6111582661437278,8509.333333333334,5201.333333333333,12
56,96,0.6012863783199806,6840.25,4114.5,12
57,97,0.5892689392294489,5428.083333333333,3199.4166666666665,12
58,98,0.5855232611830449,4223.0,2472.4166666666665,12
59,99,0.5871677506729346,3218.0,1889.75,12
60,100,0.5816541317690143,905.1666666666666,526.5,6
