Insured,Uninsured
0.0,0.0
0.0,0.0
0.00575012434340616,0.004212443786645414
0.009789768660609223,0.007627938748790346
0.017941843679109094,0.01383275459668697
0.02209066757245278,0.017419024306939146
0.03074011621559327,0.023453065406728524
0.034537139252483834,0.026527010872658963
0.04205839894217122,0.03210565264416235
0.04668033433212427,0.03671657084305801
0.053958972741499155,0.042750611942847384
0.05634879235257725,0.04514145841634883
0.06446447417903024,0.05248477258496044
0.06798248274356143,0.05629874195935561
0.07267720451760824,0.06045426082996527
0.07738405735567067,0.0644390049524677
0.08471122002110805,0.06922069789947059
0.08711317069620177,0.0715546194569363
0.09271772227142043,0.0767917117322252
0.09536229422682664,0.07980873228211989
0.10222847645967027,0.08521659930551602
0.10651074205718583,0.08772129561108898
0.1110356289350139,0.09159218990151989
0.11284315747334199,0.09278761313827062
0.1200368784346075,0.0984801047418455
0.12395521211165432,0.10229407411624068
0.12741256535610737,0.10565264416234986
0.1302633653997792,0.10792964080377981
0.1352977569662635,0.11231285933853248
0.13736003784891973,0.11407753173564068
0.143364914536654,0.11777765127796437
0.14596096223599772,0.12011157283543007
0.14974585420887265,0.123754767461718
0.15321533851734134,0.12671486309557695
0.1566120364417163,0.1288780099049354
0.15915955988499753,0.13104115671429384
0.16534640253296617,0.135993624409404
0.16799097448837239,0.13827062105083396
0.17076898814795047,0.14020606819604942
0.17328011839918478,0.1421984402573006
0.17836303422173158,0.14606933454773155
0.18059515000060655,0.14794785677691125
0.18461053218977835,0.15085102749473445
0.1865878956243252,0.1530141743040929
0.19017869057295014,0.15574657027380884
0.19336916040905947,0.15779586725109582
0.19671733407737194,0.16007286389252576
0.19799109579901253,0.161154437297205
0.20274647289313746,0.16508225650367167
0.20534252059248118,0.16730232822906585
0.20839954872441863,0.16946547503842432
0.21094707216769984,0.1711732225194968
0.21429524583601228,0.172937894916605
0.21560540074969975,0.17413331815335573
0.2190506229301372,0.17686571412307167
0.2215496221173559,0.17891501110035862
0.22460665024929335,0.18141970740593158
0.22719056688462144,0.18420902829168326
0.2293135030873558,0.18551830136050548
0.2304902162968714,0.18677064951329198
0.2349908410466682,0.19024306939147265
0.23776885470624629,0.19257699094893835
0.23958851430859002,0.19417088859793932
0.2416386641272306,0.1957647862469403
0.24514454162774618,0.198326407468549
0.247121905062293,0.19992030511754996
0.2502395885143086,0.20191267717880115
0.25203498598862106,0.20379119940798088
