Insured,Uninsured
0.16664442638263802,0.4094039961291057
0.16626620066987038,0.4088397790055249
0.16584927648829756,0.40788873689010485
0.16551891662112103,0.4071624087591241
0.16515411062919902,0.4066172276098117
0.1646937287311619,0.4056738398310406
0.16437273545218004,0.40493460506025475
0.1641005059350068,0.40422857142857144
0.1637142300953864,0.4034756759846796
0.16320843119835465,0.4025283148381192
0.16268991040124658,0.40192373754723465
0.16228262457986264,0.401363662407609
0.1617799325155616,0.40071064244369303
0.16121563657633067,0.40005735589331803
0.1608679751310496,0.3994030193444693
0.16042337332943127,0.39897771651734437
0.15992730022810164,0.3984370510831466
0.15951968369414005,0.39778148169435024
0.1591239271892664,0.3970782768735262
0.15864932527324907,0.396638074952507
0.15837314143993353,0.3959437658446647
0.15786321861556513,0.3950069188191882
0.1573639430834678,0.39425406715126343
0.15689583486193656,0.39371032890940566
0.1564981220714714,0.3927024998556665
0.15614024352933978,0.3918872067491044
0.15574272213108734,0.39116354383529955
0.15534491837809372,0.3908212280803287
0.15493078525052065,0.3901436182534167
0.1545786558164616,0.38958405746726915
0.15423940761082777,0.38869565217391305
0.15385087073828796,0.38809606682909853
0.15350920245398772,0.3875536978985255
0.15311920863044465,0.3869524805390961
0.1527658425200717,0.38636363636363635
0.15240270665242112,0.38551904623437044
0.15209032051990812,0.3848615313009076
0.1516425174206393,0.38432879264175107
0.15112061864542226,0.3838895684081775
0.1507299135418332,0.38359757519235255
0.15033893926159222,0.3830990843879396
0.14991446469668812,0.3827203736135435
0.149553076752604,0.38194566170026295
0.14925428279369926,0.3814228093762787
0.1487925086249384,0.3809440252675908
0.14840427498983025,0.3803113660306684
0.148000148000148,0.3797727805106582
0.1477163372566437,0.37916080637599625
0.14744507529005185,0.37838630233376336
0.14689614301940837,0.37808814036734933
0.14647281890386254,0.3773496240601504
0.14611544924384698,0.3768073351357705
0.14560646700369578,0.37566884224143
0.14533000321471848,0.37492646193669843
0.14498274603901004,0.37463943015246953
0.1446194582956978,0.37391765329563525
0.14425231157707114,0.3733427611808379
0.1438425719522465,0.3725016213666647
0.14351375794442311,0.3722933506401558
0.14323959198344136,0.37156179907921144
0.14292444642812865,0.3706219360935562
0.14260731516737568,0.37023464743779183
0.14228101306662366,0.36921802910209395
0.14181438998957246,0.36835877410957285
0.14139356985855675,0.36771061512047837
0.14098837209302326,0.36664099982230647
0.14061490281851172,0.36608783263201566
0.1402874120484324,0.36550210570021946
0.13984752950540363,0.364904159990505
0.13948887672323695,0.36400878703318884
0.13907490851153875,0.36337710177648386
0.1387138551966327,0.36302021403091556
0.13843278933599104,0.3625817965496728
0.13801226443314388,0.3620771796093378
0.13764213046080193,0.3614206543114236
0.137208925252878,0.36075836165265607
0.13692511167120006,0.3601431980906921
0.13636306901157058,0.359863864342011
0.13593906093906094,0.3591061185468451
0.13563959371837636,0.35844994617868675
0.1352972790561062,0.3579892280071813
0.13485126974005027,0.35768171476469884
0.13452421160605946,0.3571257341483879
0.13415519399249062,0.35632873425314937
0.13381745336171277,0.35571960148841675
0.13348696817504352,0.35505766458433446
0.1330635055886923,0.3547088166356151
0.1327223949453415,0.35418671799807505
0.13239351828625898,0.3532209512341963
