NHB (insured),NHB (uninsured),NHW (insured),NHW (uninsured)
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.001527151330042263,0.0004841833440929632,0.002083195555849481,0.0025393600812595226
0.0025570905991405333,0.0012911555842479018,0.003670392169830038,0.0030472320975114273
0.004474908548495933,0.003066494512588767,0.0069439851861649365,0.004316912138141189
0.0057534538480662,0.003873466752743706,0.008332782223397924,0.005332656170644997
0.007706786944631886,0.004680438992898645,0.01226770716222472,0.007110208227526663
0.008843271655361012,0.005326016785022595,0.013524237814959329,0.00787201625190452
0.010654544163085556,0.006778566817301485,0.016566364658422063,0.01015744032503809
0.012039634904286679,0.008231116849580375,0.018847959791019112,0.012696800406297613
0.013637816528749512,0.010329244673983214,0.02225381919185239,0.014982224479431183
0.014490180061796356,0.011297611362169141,0.023113550691091857,0.015997968511934992
0.021095997442909402,0.0158166559070368,0.02916473778189273,0.0223463687150838
0.02308484568668537,0.017753389283408652,0.031347133126116,0.02463179278821737
0.025428845402564192,0.018883150419625565,0.03379406123933602,0.02691721686135094
0.02713357246865788,0.020819883795997418,0.036373255737054425,0.029456576942610464
0.030152359981532123,0.022272433828276306,0.0404735136565042,0.03224987303199594
0.0316439961643641,0.023724983860555198,0.04169697771311421,0.03377348908075165
0.03366835955535036,0.026307295029051,0.044706037960452354,0.03682072117826308
0.03537308662144405,0.028405422853453842,0.046524700747305074,0.03732859319451498
0.03793017722058458,0.031149128469980632,0.05029429270550889,0.040883697308278316
0.040167631494832545,0.03211749515816656,0.052774287414853516,0.04291518537328593
0.042831267535603935,0.03373143963847643,0.05641161298855896,0.0452006094464195
0.04425187342401534,0.034538411878631374,0.05760201044904437,0.04647028948704927
0.04847817594203928,0.03776630083925113,0.06279346604060577,0.05104113763331641
0.05099975139396953,0.040187217559715945,0.06547186032669797,0.05281868969019807
0.053840963170792344,0.041801162040025826,0.06900998611202963,0.05535804977145759
0.05600738715061974,0.04373789541639768,0.0711923814562529,0.05815134586084307
0.059665447313279114,0.04777275661717237,0.07453210766483698,0.06043676993397664
0.062009447029157935,0.04987088444157521,0.07651610343231267,0.06272219400711021
0.06637781013602301,0.05213040671400904,0.08121156008200515,0.06399187404773997
0.0685797492630607,0.05422853453841188,0.08329475563785464,0.06653123412899949
0.07149199133430408,0.05858618463524855,0.0861054163084452,0.06907059421025902
0.07419114252228576,0.06020012911555842,0.08861847761391442,0.07211782630777044
0.07760059665447314,0.0632666236281472,0.09195820382249852,0.07516505840528187
0.08022871754803423,0.06552614590058102,0.09367766682097745,0.07668867445403758
0.08427744433000675,0.06859264041316979,0.09834005687454533,0.08125952260030472
0.08704762581240899,0.07117495158166559,0.10075391839164076,0.0835449466734383
0.08956920126433925,0.07311168495803744,0.1038621784273527,0.08583037074657186
0.09170011009695635,0.07440284054228534,0.10650750611732028,0.08811579481970544
0.09571332173171858,0.07617817947062622,0.11080616361351762,0.0914169629253428
0.09773768512270484,0.07795351839896708,0.1129224257654917,0.09370238699847638
0.10107610896047164,0.08069722401549387,0.11636135176244958,0.09674961909598781
0.10334907838192989,0.08150419625564881,0.11860988029892203,0.09878110716099543
0.10629683560038357,0.08408650742414461,0.12201573969975531,0.1015744032503809
0.10867635046347267,0.0855390574564235,0.12456186760134912,0.10360589131538853
0.1121923500372909,0.08876694641704326,0.12856292573242512,0.1053834433722702
0.11450083460595945,0.08989670755326017,0.13028238873090403,0.10716099542915185
0.11734204638278226,0.09231762427372499,0.13438264665035382,0.11122397155916709
0.11908228859608623,0.09393156875403486,0.13712717412869518,0.11350939563230066
0.12160386404801649,0.09651387992253066,0.14063223331790226,0.11528694768918232
0.12316653052526903,0.09780503550677856,0.1428807618543747,0.11706449974606399
0.12664701495187697,0.0999031633311814,0.14585675550558824,0.11833417978669375
0.12792556025144725,0.10119431891542931,0.147510085311818,0.11909598781107161
0.1306602265866392,0.10313105229180117,0.15104821109714966,0.12214321990858304
0.13293319600809744,0.10442220787604907,0.15359433899874347,0.12366683595733875
0.13577440778492028,0.1066817301484829,0.15643806626545864,0.12595226003047233
0.13779877117590653,0.10894125242091672,0.15878579459030487,0.12899949212798376
0.14063998295272934,0.10990961910910264,0.16153032206864626,0.1325545962417471
0.14234471001882304,0.11103938024531956,0.1631175186826268,0.13306246825799897
0.1457896792982207,0.11442866365397031,0.16668871106408306,0.13636363636363635
0.1482047093085201,0.1158812136862492,0.169631638119172,0.13788725241239208
0.1507973150548709,0.11781794706262104,0.17227696580913962,0.1399187404773997
0.15303476932911886,0.12007746933505488,0.17469082732623503,0.14220416455053325
0.1565152537557268,0.1223369916074887,0.17859268566893724,0.14702894870492636
0.15843307170508222,0.12411233053582957,0.18110574697440646,0.14804469273743018
0.16180701069005932,0.12604906391220141,0.1847761391442365,0.1510919248349416
0.16450616187804099,0.12830858618463525,0.18689240129621057,0.1526155408836973
0.16773804027417694,0.1302453195610071,0.18980226175517492,0.15490096495683087
0.16954931278190147,0.131697869593286,0.19155479134977846,0.15718638902996446
0.1726746457364066,0.1342801807617818,0.19499371734673632,0.15820213306246825
0.1747700394218134,0.13605551969012267,0.19671318034521526,0.15997968511934993
0.17746919060979507,0.13783085861846353,0.20008597314992393,0.16251904520060945
0.18041694782824874,0.1392834086507424,0.2028966338205145,0.16455053326561705
0.1831516141634407,0.14138153647514526,0.20603796045235104,0.16582021330624683
0.18521149270163725,0.14315687540348612,0.2082864889888235,0.16785170137125444
0.18826579536172178,0.14557779212395094,0.21169234838965678,0.17089893346876586
0.19064531022481088,0.1475145255003228,0.2133456781958865,0.17343829355002538
0.19377064317931597,0.1499354422207876,0.2167846041928444,0.17470797359065515
0.19586603686472281,0.15171078114912848,0.21962833145955954,0.17699339766378872
0.19835209716944277,0.15316333118140735,0.22233979234177634,0.1802945657694261
0.2009091877685833,0.1554228534538412,0.22478672045499637,0.1825799898425597
0.20360833895656497,0.15703679793415107,0.22786191389458368,0.1856272219400711
0.20538409631707924,0.15865074241446095,0.23014350902718075,0.18765871000507872
0.20790567176900948,0.16026468689477083,0.23282190331327293,0.19019807008633824
0.21007209574883687,0.16187863137508068,0.23523576483036837,0.1929913661757237
0.21316191355613168,0.16397675919948354,0.23804642550095892,0.19451498222447944
0.21593209503853394,0.16510652033570045,0.23986508828781164,0.19553072625698323
0.21873779166814647,0.16752743705616527,0.2435685470537663,0.19781615033011682
0.2210107610896047,0.16897998708844417,0.24581707559023874,0.19959370238699847
0.22395851830805838,0.17010974822466107,0.24862773626082932,0.20238699847638394
0.22662215434882976,0.17140090380890896,0.2517690628926658,0.20441848654139158
0.2294633661256526,0.17349903163331182,0.254612790159381,0.2069578466226511
0.2310970628973257,0.1751129761136217,0.2570266516764764,0.20822752666328084
0.23393827467414852,0.17721110393802453,0.26006877851993915,0.2107668867445404
0.23585609262350393,0.17785668173014849,0.2623503736525362,0.21203656678517013
0.23887488013637817,0.17914783731439637,0.26572316645724486,0.21381411884205181
0.24079269808573356,0.18060038734667527,0.2683354275510879,0.21559167089893347
0.24299463721277126,0.18124596513879923,0.27065008927980955,0.2171152869476892
0.24462833398444436,0.18237572627501614,0.27313008398915417,0.2186389029964449
0.24736300031963632,0.184151065203357,0.2760399444481185,0.2206703910614525
0.24942287885783287,0.18657198192382182,0.278123140003968,0.22346368715083798
0.2516958482792911,0.18737895416397676,0.2804378017326896,0.2270187912646013
0.25322299960933337,0.1883473208521627,0.28291779644203424,0.22955815134586086
0.2553894235891608,0.18963847643641057,0.2852655247668805,0.23158963941086846
0.25744930212735734,0.18996126533247257,0.2873156537266054,0.23362112747587607
0.2607877259651241,0.19222078760490638,0.2909199127041862,0.23590655154900966
0.26288311965053096,0.19399612653324724,0.29287084187553736,0.2371762315896394
0.2656177859857229,0.19625564880568108,0.29545003637325573,0.24073133570340274
0.2678197251127606,0.197546804389929,0.29710336617948546,0.24174707973590656
0.2700571793870086,0.2014202711426727,0.2995502942927055,0.2430167597765363
0.2716553610114714,0.20351839896707552,0.3014020236756828,0.24555611985779582
0.2737862698440885,0.20577792123950936,0.30384895178890287,0.24784154393092941
0.2759526938239159,0.20674628792769528,0.3062297467098737,0.250126968004063
0.2787583904535284,0.20900581020012912,0.3095364063223332,0.2531742001015744
0.2812089356110381,0.21094254357650097,0.31185106805105484,0.25495175215845606
0.2838725716518095,0.21287927695287281,0.31495932808676674,0.25723717623158965
0.2857193593067443,0.2143318269851517,0.31710865683486544,0.25901472828847133
0.2882054196114643,0.2157843770174306,0.32005158388995436,0.2610462163534789
