N,E,S1,S2
0.32592,0.15841,0.35296,0.16271
0.31295205130000703,0.16093276377787338,0.3462650433669131,0.17985014155520654
0.3127502001601281,0.1609587670136109,0.34610688550840674,0.1801841473178543
0.3131639815361817,0.16182875909923802,0.3458661673558891,0.17914109200869122
0.31330815997435923,0.16238819723360143,0.345749742089923,0.17855390070211635
0.31384082004829705,0.16342849126744757,0.34565476607982043,0.17707592260443492
0.31386897899854643,0.16422234474462433,0.34537617162047013,0.17653250463635908
0.3143776824034335,0.1654466327062693,0.3452528979984758,0.17492278689182142
0.3142900135426594,0.16578221397401816,0.3455183829061544,0.1744093895771681
0.3147722597413023,0.16664826949514816,0.345549055221619,0.1730304155419305
0.31506876819596424,0.16743298865575745,0.34522638289328383,0.17227186025499447
0.3154596310096516,0.1685564784219988,0.3450973696632486,0.17088652090510098
0.3151634485945631,0.16891362439975086,0.34508046854594043,0.17084245845974563
0.3169177579674168,0.16931828460587545,0.34291801927657567,0.17084593815013216
0.31683944857266394,0.16995304220168728,0.34279192768297956,0.17041558154266925
0.3173305169985918,0.17101186883926775,0.3421243210621605,0.1695332930999799
0.3180994928761169,0.17137567415278113,0.34194638976092734,0.16857844321017468
0.3190397101011626,0.17238914892546178,0.34184911168151394,0.1667220292918617
0.31916050675743723,0.172903784567665,0.34161815947954643,0.16631754919535136
0.31945675828161524,0.17386354477311194,0.3414705408237285,0.1652091561215443
0.3197758222706059,0.17419133730482728,0.3409033636739343,0.16512947675063253
0.320526782833172,0.17507663762504033,0.3406139077121652,0.16378267182962247
0.32078516814944824,0.1756642256248865,0.34064637172426315,0.1629042345014021
0.32150064578624477,0.17643082014853084,0.33997618663222473,0.1620923474329997
0.32130022208762365,0.17650918635170604,0.34019785988289925,0.16199273167777103
0.32325466315226065,0.17719473647004172,0.339311863140142,0.16023873723755566
0.32385984764291054,0.17693830952332842,0.3394693770332801,0.15973246580048092
0.3244218484676963,0.17751880003234413,0.33945176679873856,0.158607584701221
0.3251499004034419,0.17730209607781677,0.339609096148596,0.1579389073701453
0.32624242608159093,0.1781628379813674,0.33931154472531583,0.1562831912117258
0.32660723140286785,0.1782956718849614,0.3390137524160334,0.15608334429613738
0.3280049403213234,0.17898541187904313,0.33846262869638283,0.1545470191032507
0.3281811828338178,0.17909631415288316,0.3387859696745637,0.15393653333873533
0.32897989786820137,0.17964253870470942,0.3383926400259382,0.152984923401151
0.32906299092890084,0.1801246642679775,0.3380732782648356,0.15273906653828612
0.3298353408768301,0.18079044490408402,0.337774262886807,0.15159995133227885
0.33011126776277755,0.18094957957622906,0.3378807396212636,0.1510584130397298
0.33093525179856115,0.18199713853740704,0.33730758693468355,0.14976002272934827
0.33142155270423906,0.18244477830112069,0.3366391911645282,0.14949447783011208
0.33242274375196756,0.18263245016299215,0.3361091082653776,0.14883569781966263
0.332584954538528,0.18330878244526846,0.3357647178341037,0.14834154518209985
0.33404480221165184,0.1840773265032321,0.33445135585640523,0.14742651542871082
0.334068861727441,0.18470236521526917,0.33415021048992294,0.14707856256736695
0.33501510543286983,0.18513055773123518,0.3335706802022195,0.14628365663367546
0.3351787586122673,0.18519046213655468,0.33354026521203733,0.14609051403914067
0.33625894738985673,0.18561697534949548,0.33241016973313103,0.14571390752751673
0.3368955083994662,0.1858273652468903,0.3320972687727305,0.14517985758091298
0.3382421882962027,0.18621715823158924,0.3309757240985712,0.1445649293736369
0.3382409918636188,0.18605599624788433,0.3307673484369583,0.14493566345153858
0.3391030283248845,0.18713599412490692,0.33005579298456766,0.1437051845656409
0.3395111496657652,0.18717150584273104,0.3300096953615349,0.14330764912996888
0.34025154664434326,0.18795557098229781,0.32915450109234945,0.14263838128100945
0.34038033376228116,0.1884306636436056,0.328788528708867,0.14240047388524624
0.34138741315897014,0.18870044953003678,0.3279730281977932,0.14193910911319985
0.3411725026062427,0.18910079515954295,0.32787555446536254,0.14185114776885183
0.34202453987730064,0.18947852760736197,0.3274642126789366,0.1410327198364008
0.3422425432674604,0.19005973569002904,0.3271858761916452,0.14051184485086535
0.3431477899563006,0.1902919775260201,0.32692681628851844,0.13963341622916092
0.34330237844147066,0.19102274007105632,0.32664407334978346,0.13903080813768953
0.34426598926537466,0.19146146597287664,0.32586962756586224,0.13840291719588643
0.34449545044675794,0.19136814492991228,0.3258668743339618,0.13826953028936798
0.345395647315708,0.19207782755333216,0.32528267844877956,0.13724384668218023
0.346239845737261,0.19233609583982933,0.3243722819397719,0.13705177648313777
0.347092683227137,0.1923025620504612,0.3239654836293492,0.1366392710930526
0.34767657897167964,0.19265866702251055,0.3232157337740323,0.13644902023177755
0.34854490562937707,0.19329034113080446,0.32239017477562587,0.13577457846419255
0.3482700525969757,0.19331443129520054,0.3225982084155161,0.13581730769230768
0.349498997995992,0.19381326756076256,0.32150454755665175,0.1351831868865937
0.3497594176673795,0.1939463727586774,0.32113628886329987,0.1351579207106432
0.350836770590111,0.19392299859081044,0.32050319382013803,0.13473703699894055
0.35124983277247795,0.1937163615407572,0.32029473207578235,0.13473907361098247
0.3521029601029601,0.19417245817245818,0.31954697554697553,0.13417760617760618
0.35232738996528745,0.19384444238435153,0.31965431640967007,0.13417385124069095
0.35319701529455416,0.19421198004699675,0.31913468277198337,0.13345632188646575
0.35354097718392047,0.19456043219613786,0.31854876125081194,0.13334982936912973
0.35400959207879945,0.19477076994481976,0.31797225516992417,0.1332473828064566
0.35429414617535676,0.19478696948746788,0.3174355852276831,0.13348329910949222
0.35523898007639104,0.19478682770723652,0.3164963352947249,0.13347785692164757
0.3556459858914905,0.19490606376715794,0.31592319847966865,0.1335247518616829
0.3566084530329648,0.19534979849126796,0.31507698666942235,0.13296476180634495
0.3568747867621972,0.195310319158835,0.31486823196137426,0.13294666211759354
0.35741177444044514,0.19542013156261637,0.31448843655620373,0.13267965744073476
0.35802839639042966,0.19597027899660568,0.31369525622982036,0.1323060683831443
0.3587160238156873,0.19632410044007248,0.3126274915868496,0.13233238415739063
0.35897489019640344,0.19605121405486037,0.31232907930720144,0.13264481644153475
0.3596041245660397,0.19627959997927355,0.3122856106534017,0.13183066480128505
0.35983493524941157,0.19606623326801248,0.31229587234439643,0.13180295913817952
0.360498770708632,0.19591896013361412,0.3114619749577269,0.13212029420002697
0.3605405461508921,0.19574039669112686,0.31112541127383314,0.13259364588414793
0.36119619957426924,0.1956077046882301,0.31107419137116454,0.1321219043663361
0.3613180009764509,0.195508325802196,0.31085418679298205,0.1323194864283711
0.36190931482078087,0.19587832430915686,0.3101961069598745,0.1320162539101878
0.3622525370154716,0.19622359008484444,0.30959906837464646,0.13192480452503744
0.36288267296349846,0.1966026234487637,0.30857249851767865,0.1319422050700592
0.3627583623004392,0.19685490081801718,0.3081198093374685,0.1322669275440751
0.3632189891208162,0.19743896725834156,0.3069283223153402,0.13241372130550205
0.36332670131980543,0.19706455275575788,0.30685736309753225,0.13275138282690443
0.3640494403568377,0.19781353565250015,0.30602163536694665,0.13211538862371552
0.36409133562715046,0.1984568866645814,0.30539047023250965,0.13206130747575853
0.3644577056295122,0.1986500020865501,0.305105788089972,0.1317865041939657
0.3639163204376057,0.1991982796417312,0.3051130550973965,0.13177234482326658
0.36457441253263706,0.19963446475195823,0.30434464751958223,0.13144647519582245
0.3647288725403112,0.19993102943788993,0.3038153260949077,0.13152477192689122
0.3651855723993727,0.20011500261369577,0.30307370622059593,0.1316257187663356
0.365583749973851,0.2004581302428718,0.30244963705206784,0.13150848273120933
0.3656512594049874,0.20050020405814087,0.3026967068155419,0.13115182972132983
0.3652742881072027,0.20109924623115577,0.30263819095477384,0.13098827470686766
0.3662941121015639,0.2017974797574031,0.30128735584023797,0.13062105230079504
0.3659464330622852,0.20198675496688742,0.30134546064213263,0.13072135132869478
0.36648144265045085,0.20222268819459005,0.30106940658418957,0.13022646257076956
0.3664904441227684,0.20218390081188242,0.3007950993349697,0.1305305557303795
0.3666376334043424,0.20247027588595176,0.30029488000167903,0.13059721070802682
0.36658513798641656,0.20271249068368621,0.3000955250202072,0.13060684630969002
0.36716584054440055,0.20252247332605225,0.30006090901453414,0.130250777115013
0.36705123355608793,0.2026856638507124,0.3001933341739167,0.13006976841928297
0.36775821287779237,0.202796320630749,0.2996057818659658,0.12983968462549278
0.3679415972397543,0.20273710342506102,0.29961920390473784,0.12970209543044686
