OHS,IHS,DT,DUT
0.20929,0.79071,0.0,0.0
0.20887145986934905,0.7911285401306509,0.0,0.0
0.2083466773418735,0.7861689351481185,0.005484387510008007,0.0
0.20794825324668822,0.7826295921739044,0.009392115829419952,3.0038749987483853e-05
0.2075500045071664,0.7752025720896225,0.0171472641499985,0.00010015925321260804
0.20699606208479043,0.7717111393901742,0.02107235543442319,0.0002204430906121304
0.20659616059345395,0.7639115833792792,0.02910129818054233,0.000390957846724475
0.20623922024788416,0.7605992539408768,0.032509726846095224,0.0006517989651437969
0.2057882329337413,0.7538546421226865,0.03949440738325726,0.0008627175603149923
0.205192016296549,0.7498018122886416,0.04398261969032543,0.0010235517244839593
0.20463808854532678,0.7432687481176589,0.050888465013552854,0.0012046983234615
0.20419005915495786,0.7413251112293987,0.05283773061896775,0.0016470989966756722
0.20366277551184425,0.73383094573145,0.06068795081473147,0.001818327941974242
0.20306736751123128,0.730821415290606,0.06391019005216132,0.0022010271460014674
0.20265256256850106,0.7266291942765785,0.06821449759177886,0.002503745563141648
0.20220277610138804,0.7225005029169181,0.07252061959364313,0.002776101388050694
0.201692425340095,0.7160709973436368,0.07907711502857603,0.003159462287692184
0.20124817554985153,0.7141074034928784,0.08102068548995923,0.0036237354673108865
0.2007895425889746,0.7089870893673589,0.08625551370621765,0.003967854337448892
0.20030023373901829,0.7067381316998469,0.08848835334891593,0.004473281212218909
0.19993548842319595,0.7004142852822886,0.09489249750521636,0.004757728789299142
0.19933849628912553,0.6969889480477574,0.0985499354630526,0.005122620200064537
0.19878351388972948,0.6930944743690614,0.1025136678165789,0.005608343924630313
0.19830682918953826,0.6918590571520826,0.10377986761381983,0.0060542460445592505
0.19779931354734503,0.6853926912982031,0.11050878255602666,0.006299212598425197
0.1973419779642702,0.6819361549570293,0.11370315387645046,0.007018713202250028
0.19687203216876478,0.6789286508112914,0.11669259835519004,0.007506718664753784
0.19647044554055146,0.676558583326595,0.11890515080456053,0.008065820328293038
0.19599793728955803,0.6720694850301823,0.12342895276999767,0.008503624910261985
0.1956119321457834,0.6704296017560364,0.12496586046793919,0.008992605630241051
0.19516489743875165,0.6652566814074217,0.1301672755239377,0.00941114562988899
0.1947276242926128,0.6630862835218012,0.13210297735348606,0.01008311483209994
0.1943400621904405,0.6596643336810866,0.1353401736065391,0.010655430521933778
0.19389843560022696,0.6566730161303397,0.13792858879792494,0.01149995947150847
0.1934931333299549,0.6538590178888157,0.14067805199412153,0.01196979678710789
0.1930384880561301,0.6517723161779616,0.14259642292249666,0.012592772843411607
0.19266464484587842,0.6461238855473623,0.14837054092158514,0.012840928685174103
0.1921949041612972,0.6440117299672251,0.14994266927783584,0.013850696593641871
0.19168223160630177,0.6418405879486763,0.1517987656326133,0.014678414812408641
0.19129489900579866,0.6398025814706868,0.15368991885935962,0.015212600664154929
0.19087722862802864,0.6352923248844415,0.15820592269010006,0.015624523797429776
0.19043989104362322,0.6335122169370249,0.1596536162946701,0.016394275724681873
0.18999003477659596,0.6300868398039495,0.16305342579976,0.016869699619694534
0.189646929579184,0.6284266954195445,0.16427793996480486,0.01764843503646665
0.18917983737189728,0.6254465148940068,0.16692278727063636,0.018450860463459562
0.188742834451651,0.6228401535438282,0.1694582183621313,0.0189587936423895
0.18831307749513554,0.6200629577938285,0.17205407442874462,0.01956989028229134
0.18795988667169441,0.6191679745622796,0.17236705326022705,0.020505085505798902
0.18759558718570934,0.614826974448908,0.17683884255388568,0.020738595811496972
0.18707479523872667,0.6127538478799686,0.1785783498740323,0.021593007007272468
0.1865795785069143,0.6102362606521406,0.18110935347247029,0.022074807368474766
0.1861792269840946,0.6082038507871041,0.1829123874471691,0.022704534781632195
0.18556079825152685,0.6056845803460179,0.18525440692852913,0.023500214473926098
0.18519615856150387,0.6047915815284022,0.1858398038414385,0.024172456068655496
0.18484904233355817,0.6017661127123322,0.18876351669017397,0.024621328263935732
0.18441717791411044,0.5997239263803681,0.19068507157464212,0.025173824130879346
0.1840145656888016,0.5970602675831594,0.19318972218812652,0.02573544453991244
0.18352726863365162,0.5948850204169354,0.19536806770849324,0.026219643240919837
0.18321064001883913,0.5931871934800192,0.19679734613848815,0.026804820362653452
0.18285737698201335,0.5923505551685991,0.1969414512230098,0.027850616626377677
0.1824227395688171,0.588347405525043,0.2012050168046561,0.028024838101483728
0.18208285066991972,0.585951675568176,0.20343622179622547,0.028529251965678785
0.1816279642241733,0.5846291129892508,0.20473660457864937,0.029006318207926478
0.18109808025774413,0.5831255579154739,0.20612347503103806,0.02965288679574394
0.1806284066063785,0.5801521232588456,0.20935937836811366,0.029860091766662218
0.18010515290300055,0.5786695693249265,0.21065494649935307,0.030570331272719804
0.17969263642340566,0.576029339250493,0.21313075279421434,0.031147271531886917
0.17930219413185344,0.5746056214994091,0.2138944555778223,0.03219772879091516
0.17883286724790262,0.5725345451554532,0.21590722158249712,0.032725366014147064
0.1783807691912075,0.571143500756025,0.21676832717884364,0.03370740287392382
0.17791979253496343,0.568974921017155,0.21917610858983463,0.033929177858046985
0.17755469755469755,0.5678146718146718,0.219994851994852,0.03463577863577864
0.17724009352821812,0.5643830536757207,0.2235200807556421,0.03485677204041902
0.17678402110730923,0.5626314053675228,0.2250072144123346,0.03557735911283341
0.17635293268586394,0.5613188580619219,0.22599569041064818,0.03633251884156589
0.1758754061162395,0.5600330050023207,0.22704347377649425,0.03704811510494559
0.17552187058228685,0.5574289812302009,0.22967464993653972,0.03737449825097254
0.17499741922163725,0.556436461236709,0.23057706204191183,0.03798905749974192
0.17450759649249648,0.5542289379370178,0.23292467543198273,0.03833879013850301
0.17413454583031931,0.5529606282938927,0.2338017980779167,0.03910302779787124
0.17376425462402945,0.5507066571549684,0.23587978040383362,0.03964930781716861
0.17333788424144636,0.5487464316743205,0.23776426295974515,0.040151421124488024
0.1729551287358225,0.5469513204735491,0.2393617021276596,0.04073184866296879
0.17249805850375355,0.5464561221848304,0.23934765726119597,0.04169816205022003
0.17211195823319797,0.5433620618214966,0.2427073837739289,0.04181859617137648
0.17170837867247007,0.5417793668065702,0.2439711902171097,0.04254106430384994
0.1712961522908955,0.540047901956515,0.24565823716652668,0.04299770858606281
0.17090780833428426,0.538958681286762,0.24639770947228648,0.04373580090666722
0.17045678640746467,0.5366539695060563,0.24885050909732528,0.04403873498915379
0.17002232490524896,0.5354446809615285,0.2493951508229064,0.045137843310316186
0.16959082551653215,0.533256463793408,0.2519762743203798,0.04517643636968016
0.16925267347723516,0.5313074836577534,0.2533282063539902,0.04611163651102127
