,age,prevalence,mean_n_alive,mean_n_htn,n_months
0,40,0.5264432919954259,99782.33333333333,52529.416666666664,12
1,41,0.5336479105301685,99317.66666666667,53000.416666666664,12
2,42,0.5423591256226082,98839.66666666667,53606.166666666664,12
3,43,0.5511118351138001,98365.75,54210.25,12
4,44,0.5572518468195894,97858.83333333333,54531.833333333336,12
5,45,0.5625017828330343,97364.91666666667,54767.666666666664,12
6,46,0.5693426640999872,96841.58333333333,55135.75,12
7,47,0.5768759310983279,96298.66666666667,55552.0,12
8,48,0.5832035793912184,95743.25,55837.583333333336,12
9,49,0.589357710400136,95200.25,56106.666666666664,12
10,50,0.5963842577802191,94642.75,56443.083333333336,12
11,51,0.6040461310782065,94022.5,56793.5,12
12,52,0.6098373922254253,93343.58333333333,56924.25,12
13,53,0.6142266840124285,92617.5,56887.833333333336,12
14,54,0.6194347573065774,91827.91666666667,56881.0,12
15,55,0.6242894944412279,90986.91666666667,56801.833333333336,12
16,56,0.6276206045326064,90131.25,56568.166666666664,12
17,57,0.6308833263064134,89228.83333333333,56292.583333333336,12
18,58,0.6342238156587191,88257.66666666667,55975.0,12
19,59,0.6377706292927119,87230.0,55632.333333333336,12
20,60,0.6395975443584467,86094.41666666667,55066.0,12
21,61,0.6402391665471034,84911.33333333333,54363.166666666664,12
22,62,0.642278022480101,83626.0,53711.083333333336,12
23,63,0.6444457664361756,82287.5,53029.416666666664,12
24,64,0.6449554511604717,80913.91666666667,52186.25,12
25,65,0.6449391644574134,79482.0,51260.75,12
26,66,0.6473600212410574,78037.08333333333,50517.75,12
27,67,0.6515098426140021,76430.66666666667,49794.75,12
28,68,0.6521845806361887,74774.41666666667,48767.083333333336,12
29,69,0.6523224050994164,73090.5,47678.083333333336,12
30,70,0.6556408481588673,71291.16666666667,46741.0,12
31,71,0.6573499350257049,69337.25,45578.25,12
32,72,0.6579955820019144,67308.41666666667,44289.166666666664,12
33,73,0.6574248009601259,65228.166666666664,42882.166666666664,12
34,74,0.6601919508795439,63146.75,41688.583333333336,12
35,75,0.6627707093041445,60881.0,40349.5,12
36,76,0.6626901359856502,58462.75,38743.583333333336,12
37,77,0.6599341584923518,55941.416666666664,36917.583333333336,12
38,78,0.6605543074241665,53428.25,35291.916666666664,12
39,79,0.6623292268998965,50852.833333333336,33680.666666666664,12
40,80,0.6617103276914428,48219.083333333336,31908.416666666668,12
41,81,0.6585849650867706,45586.75,30022.833333333332,12
42,82,0.6582657629175165,42877.083333333336,28224.666666666668,12
43,83,0.657440843569514,40092.25,26358.666666666668,12
44,84,0.6525774489062354,37300.916666666664,24343.5,12
45,85,0.6479031332043003,34512.75,22361.083333333332,12
46,86,0.646413339059904,31622.916666666668,20441.666666666668,12
47,87,0.6463034522014551,28650.416666666668,18516.583333333332,12
48,88,0.6410959148162437,25714.166666666668,16487.75,12
49,89,0.6350896319497797,22845.916666666668,14509.333333333334,12
50,90,0.6335824642027904,20089.25,12728.583333333334,12
51,91,0.6322439758076883,17416.5,11011.583333333334,12
52,92,0.6265941865447283,14918.583333333334,9349.583333333334,12
53,93,0.6194280660911571,12653.75,7839.083333333333,12
54,94,0.6145564777065883,10559.75,6489.75,12
55,95,0.6117246017727832,8607.416666666666,5266.416666666667,12
56,96,0.6007550093036403,6924.5,4161.5,12
57,97,0.5881805507227387,5501.666666666667,3236.8333333333335,12
58,98,0.5847200162392464,4292.0,2509.3333333333335,12
59,99,0.5878794470102479,3283.75,1930.5,12
60,100,0.5835550631500908,924.5,539.5,6
