N,E,S1,S2,D
0.34044,0.19121,0.28551,0.12796,0.05488
0.3397,0.1912,0.28558,0.12806,0.05546
0.33948,0.19133,0.28554,0.12768,0.05597
0.33912,0.19156,0.28498,0.12781,0.05653
0.33898,0.19183,0.28441,0.12781,0.05697
0.3388,0.19176,0.28402,0.12801,0.05741
0.3388,0.19219,0.28342,0.12765,0.05794
0.33843,0.19244,0.28298,0.12772,0.05843
0.33831,0.19265,0.28239,0.12747,0.05918
0.33853,0.1919,0.28256,0.12738,0.05963
0.33882,0.19195,0.28234,0.12676,0.06013
0.33876,0.19185,0.28176,0.12691,0.06072
0.33906,0.19174,0.28127,0.1265,0.06143
0.33934,0.19145,0.28075,0.12649,0.06197
0.33918,0.19129,0.28057,0.12644,0.06252
0.33927,0.19097,0.28016,0.12655,0.06305
0.33937,0.19117,0.27956,0.1263,0.0636
0.33867,0.19095,0.27972,0.12649,0.06417
0.33856,0.19124,0.27962,0.12582,0.06476
0.33818,0.19174,0.27906,0.12567,0.06535
0.33828,0.19188,0.27852,0.12536,0.06596
0.33788,0.19194,0.27822,0.12546,0.0665
0.33776,0.19274,0.27747,0.12494,0.06709
0.33701,0.19289,0.27795,0.12456,0.06759
0.33685,0.19317,0.27755,0.12424,0.06819
0.33634,0.19348,0.27734,0.12402,0.06882
0.33629,0.19383,0.27683,0.12367,0.06938
0.33605,0.19392,0.27654,0.12354,0.06995
0.33598,0.19376,0.27656,0.12314,0.07056
0.33574,0.19359,0.27656,0.12297,0.07114
0.3354,0.19375,0.27587,0.12307,0.07191
0.33533,0.1938,0.2756,0.1228,0.07247
0.33529,0.19377,0.27485,0.1229,0.07319
0.33519,0.19381,0.27416,0.12298,0.07386
0.3354,0.19345,0.27406,0.12266,0.07443
0.33533,0.19309,0.27418,0.12247,0.07493
0.33558,0.19343,0.27333,0.12206,0.0756
0.33549,0.19312,0.273,0.12211,0.07628
0.33554,0.19318,0.27229,0.12209,0.0769
0.33584,0.19273,0.2716,0.12226,0.07757
0.3362,0.19311,0.27067,0.12174,0.07828
0.33586,0.1926,0.27069,0.12188,0.07897
0.33602,0.1929,0.27022,0.12121,0.07965
0.33586,0.19319,0.26976,0.12098,0.08021
0.33575,0.19341,0.26902,0.12076,0.08106
0.33572,0.193,0.26915,0.12039,0.08174
0.3356,0.19296,0.26847,0.12055,0.08242
0.3351,0.19256,0.26872,0.12063,0.08299
0.33548,0.19237,0.26794,0.12064,0.08357
0.33528,0.19241,0.26728,0.12065,0.08438
0.33553,0.19276,0.26618,0.12042,0.08511
0.33535,0.19287,0.26534,0.12056,0.08588
0.33552,0.19308,0.26421,0.12058,0.08661
0.3353,0.19273,0.26405,0.1207,0.08722
0.33544,0.19312,0.26318,0.12027,0.08799
0.33484,0.19319,0.26308,0.12015,0.08874
0.33473,0.19334,0.26281,0.11975,0.08937
0.33441,0.19333,0.26253,0.11952,0.09021
0.33435,0.19346,0.26168,0.11954,0.09097
0.33415,0.19337,0.26151,0.11934,0.09163
0.33383,0.19366,0.26128,0.11899,0.09224
0.33359,0.1935,0.26111,0.11893,0.09287
0.33347,0.19385,0.26062,0.1185,0.09356
0.33296,0.19395,0.26038,0.11841,0.0943
0.33275,0.19391,0.26001,0.11823,0.0951
0.3324,0.19354,0.25953,0.11868,0.09585
0.33241,0.19403,0.25911,0.11804,0.09641
0.33207,0.19455,0.25857,0.11753,0.09728
0.33214,0.19485,0.25749,0.1174,0.09812
0.33166,0.19478,0.25739,0.11727,0.0989
0.33183,0.19512,0.2568,0.11681,0.09944
0.33151,0.1953,0.25652,0.11651,0.10016
0.33175,0.19541,0.25543,0.11648,0.10093
0.33092,0.19595,0.25518,0.1164,0.10155
0.3312,0.19589,0.25415,0.11623,0.10253
0.33103,0.1959,0.25356,0.11624,0.10327
0.33071,0.19635,0.25314,0.11583,0.10397
0.33025,0.19646,0.25292,0.11583,0.10454
0.33019,0.19636,0.25255,0.11554,0.10536
0.32988,0.19662,0.25205,0.11524,0.10621
0.33008,0.19669,0.25124,0.11492,0.10707
0.32966,0.19639,0.25097,0.11517,0.10781
0.32997,0.19564,0.25049,0.11522,0.10868
0.32964,0.19522,0.25022,0.11549,0.10943
0.32947,0.19546,0.24952,0.1152,0.11035
0.32924,0.19551,0.24909,0.1151,0.11106
0.32896,0.19541,0.24908,0.1148,0.11175
0.3291,0.19549,0.2485,0.11449,0.11242
0.32912,0.19536,0.24759,0.11463,0.1133
0.32846,0.19551,0.24709,0.11483,0.11411
0.32827,0.19591,0.24609,0.11462,0.11511
0.32802,0.19597,0.24597,0.11413,0.11591
0.32763,0.19618,0.24553,0.11381,0.11685
0.3273,0.19627,0.24491,0.11388,0.11764
0.32777,0.19657,0.24361,0.11355,0.1185
