Insured,Uninsured
0.0,0.0
0.0,0.0
0.005017771273259461,0.0041708614986336835
0.008920482263572374,0.006615849273694808
0.016238065370409088,0.011362002013519345
0.019118637768021002,0.013519344167985042
0.027063442284015145,0.01999137063138214
0.029967245104188446,0.022004889975550123
0.03651822426649941,0.026175751474183804
0.04065323948242618,0.030346612972817488
0.04722744906729853,0.03466129728174889
0.049132343717332216,0.036099525384726015
0.056403465979046156,0.04257155184812311
0.05928403837665807,0.04472889400258881
0.06330290147977792,0.04818064144973393
0.0677631426115641,0.051632388896879045
0.07387274374520872,0.05537178196461959
0.07575440797268103,0.05724147849848986
0.08093479220387019,0.06155616280742126
0.08297906938927219,0.06342585934129152
0.0889260575649871,0.06817201208111606
0.09259646432968616,0.07004170861498633
0.09675470996817433,0.0729181648209406
0.09791623109624364,0.0740687473033223
0.10462982321648431,0.07910254566374227
0.10816084744581504,0.08212282467999425
0.11122726322391804,0.08514310369624623
0.11355030548005668,0.08801955990220049
0.11773178154110624,0.09132748453904789
0.1194972936557716,0.09276571264202503
0.12500290380282017,0.09664892852006328
0.12739563732664297,0.09837480224363584
0.13083373986572816,0.10125125844959011
0.1339930773340767,0.10455918308643751
0.13715241480242527,0.10642887962030778
0.13915023114270447,0.10786710772328491
0.14486491509280555,0.11218179203221632
0.1471647269263828,0.11362002013519344
0.14960392129532837,0.11520207104846829
0.151926963551467,0.11707176758233856
0.15692150440216507,0.12009204659859053
0.1589425511650057,0.12167409751186538
0.16282203173275722,0.12368761685603337
0.16484307849559784,0.1252696677693082
0.167979185541385,0.1284337695958579
0.1711849838548563,0.13044728894002589
0.17381002160429299,0.13246080828419388
0.1748089297744326,0.13389903638717102
0.1796176272446396,0.13850136631669782
0.18214974330383069,0.1403710628505681
0.18512323739168815,0.14224075938443836
0.18751597091551095,0.14339134186682007
0.19041977373568425,0.1445419243492018
0.1916742165539991,0.14554868402128576
0.19515877993820707,0.1479936717963469
0.1974818221943457,0.14986336833021718
0.20052500754988734,0.15187688767438515
0.20305712360907846,0.15432187544944628
0.20514786163960322,0.15604774917301883
0.20607707854205867,0.15647921760391198
0.21021209375798547,0.1599309650510571
0.2128603619299835,0.16165683877462966
0.21467233488977164,0.16367035811879765
0.21664692080748948,0.16496476341147706
0.220224405881943,0.16798504242772905
0.22194345715148558,0.1697109161513016
0.2251260250423955,0.1717244354954696
0.2266824633540084,0.1731626635984467
