NHB (insured),NHB (uninsured),NHW (insured),NHW (uninsured)
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.002308484568668537,0.0009683666881859264,0.002083195555849481,0.0025393600812595226
0.0037290904570799446,0.002420916720464816,0.003670392169830038,0.0030472320975114273
0.006463756792271904,0.004519044544867657,0.0069439851861649365,0.004316912138141189
0.00827502929999645,0.005971594577146546,0.008332782223397924,0.005332656170644997
0.010974180487978123,0.007585539057456424,0.01226770716222472,0.007110208227526663
0.012465816670810101,0.008876694641704326,0.013524237814959329,0.00787201625190452
0.015022907269950633,0.010974822466107165,0.016566364658422063,0.01015744032503809
0.017082785808147174,0.012750161394448031,0.018847959791019112,0.012696800406297613
0.019746421848918564,0.015978050355067785,0.02225381919185239,0.014982224479431183
0.021167027737329973,0.017269205939315687,0.023113550691091857,0.015997968511934992
0.029122420712433855,0.022918011620400257,0.02916473778189273,0.0223463687150838
0.03171502645878467,0.0250161394448031,0.031347133126116,0.02463179278821737
0.0345207230883972,0.027275661717236926,0.03379406123933602,0.02691721686135094
0.036616116773804025,0.02937378954163977,0.036373255737054425,0.029456576942610464
0.04077138899740739,0.03147191736604261,0.0404735136565042,0.03224987303199594
0.04293781297723479,0.03276307295029051,0.04169697771311421,0.03377348908075165
0.04570799445963704,0.036152356358941255,0.044706037960452354,0.03682072117826308
0.04790993358667472,0.03873466752743705,0.046524700747305074,0.03732859319451498
0.051319387718862096,0.041639767591994836,0.05029429270550889,0.040883697308278316
0.05405405405405406,0.0434151065203357,0.052774287414853516,0.04291518537328593
0.05710835671413858,0.046158812136862494,0.05641161298855896,0.0452006094464195
0.05888411407465284,0.046804389928986445,0.05760201044904437,0.04647028948704927
0.06339453777035906,0.05035506778566817,0.06279346604060577,0.05104113763331641
0.0664133252832333,0.05326016785022595,0.06547186032669797,0.05281868969019807
0.06946762794331783,0.05535829567462879,0.06900998611202963,0.05535804977145759
0.07174059736477607,0.05842479018721756,0.0711923814562529,0.05815134586084307
0.07593138473558973,0.0631052291801162,0.07453210766483698,0.06043676993397664
0.07841744504030969,0.065848934796643,0.07651610343231267,0.06272219400711021
0.08324750506090847,0.0697224015493867,0.08121156008200515,0.06399187404773997
0.08541392904073587,0.07149774047772757,0.08329475563785464,0.06653123412899949
0.08875235287850268,0.07585539057456424,0.0861054163084452,0.06907059421025902
0.0918066555385872,0.07779212395093608,0.08861847761391442,0.07211782630777044
0.0954292005540363,0.08150419625564881,0.09195820382249852,0.07516505840528187
0.09798629115317684,0.08457069076823757,0.09367766682097745,0.07668867445403758
0.10224810881841105,0.08828276307295028,0.09834005687454533,0.08125952260030472
0.10537344177291615,0.09167204648160103,0.10075391839164076,0.0835449466734383
0.1081436232553184,0.09409296320206585,0.1038621784273527,0.08583037074657186
0.11031004723514579,0.0961910910264687,0.10650750611732028,0.08811579481970544
0.11471392548922116,0.0986120077469335,0.11080616361351762,0.0914169629253428
0.11688034946904854,0.10087153001936733,0.1129224257654917,0.09370238699847638
0.12021877330681535,0.1039380245319561,0.11636135176244958,0.09674961909598781
0.12213659125617075,0.10571336346029697,0.11860988029892203,0.09878110716099543
0.12572362112440957,0.10813428018076178,0.12201573969975531,0.1015744032503809
0.12856483290123238,0.10990961910910264,0.12456186760134912,0.10360589131538853
0.13296871115530773,0.11297611362169141,0.12856292573242512,0.1053834433722702
0.13517065028234543,0.11475145255003227,0.13028238873090403,0.10716099542915185
0.13840252867848138,0.11733376371852808,0.13438264665035382,0.11122397155916709
0.1404624072166779,0.11878631375080698,0.13712717412869518,0.11350939563230066
0.14316155840465958,0.12153001936733376,0.14063223331790226,0.11528694768918232
0.14539901267890756,0.12330535829567463,0.1428807618543747,0.11706449974606399
0.14905707284156694,0.12669464170432537,0.14585675550558824,0.11833417978669375
0.15072628476045033,0.12846998063266624,0.147510085311818,0.11909598781107161
0.1536385268316937,0.13185926404131698,0.15104821109714966,0.12214321990858304
0.1565152537557268,0.13363460296965785,0.15359433899874347,0.12366683595733875
0.15956955641581133,0.1368624919302776,0.15643806626545864,0.12595226003047233
0.16212664701495189,0.1394448030987734,0.15878579459030487,0.12899949212798376
0.16510991938061584,0.1407359586830213,0.16153032206864626,0.1325545962417471
0.16674361615228894,0.1418657198192382,0.1631175186826268,0.13306246825799897
0.17089888837589232,0.14541639767591996,0.16668871106408306,0.13636363636363635
0.17388216074155627,0.14816010329244675,0.169631638119172,0.13788725241239208
0.1764392513406968,0.15074241446094255,0.17227696580913962,0.1399187404773997
0.17896082679262706,0.15284054228534538,0.17469082732623503,0.14220416455053325
0.18265440210249673,0.15606843124596514,0.17859268566893724,0.14702894870492636
0.1848208260823241,0.15768237572627503,0.18110574697440646,0.14804469273743018
0.18833682565614235,0.1604260813428018,0.1847761391442365,0.1510919248349416
0.1910714919913343,0.16268560361523562,0.18689240129621057,0.1526155408836973
0.19437440068189082,0.1642995480955455,0.18980226175517492,0.15490096495683087
0.19650530951450793,0.1659134925758554,0.19155479134977846,0.15718638902996446
0.1995240970273822,0.1684958037443512,0.19499371734673632,0.15820213306246825
0.201868096743261,0.17059393156875405,0.19671318034521526,0.15997968511934993
0.20492239940334553,0.17382182052937378,0.20008597314992393,0.16251904520060945
0.20818979294669177,0.17543576500968366,0.2028966338205145,0.16455053326561705
0.21103100472351458,0.17785668173014849,0.20603796045235104,0.16582021330624683
0.2133750044393934,0.17947062621045837,0.2082864889888235,0.16785170137125444
0.21681997371879105,0.18237572627501614,0.21169234838965678,0.17089893346876586
0.2191639734346699,0.18495803744351194,0.2133456781958865,0.17343829355002538
0.2229996093333807,0.18705616526791477,0.2167846041928444,0.17470797359065515
0.2251305181659978,0.18963847643641057,0.21962833145955954,0.17699339766378872
0.22779415420676918,0.19141381536475147,0.22233979234177634,0.1802945657694261
0.23070639627801257,0.19367333763718528,0.22478672045499637,0.1825799898425597
0.23415136555741023,0.19544867656552614,0.22786191389458368,0.1856272219400711
0.23589160777071422,0.19690122659780504,0.23014350902718075,0.18765871000507872
0.2390169407252193,0.19916074887023885,0.23282190331327293,0.19019807008633824
0.24121887985225698,0.20109748224661073,0.23523576483036837,0.1929913661757237
0.2443086976595518,0.20367979341510653,0.23804642550095892,0.19451498222447944
0.2469013034059026,0.20529373789541638,0.23986508828781164,0.19553072625698323
0.250062151507618,0.20900581020012912,0.2435685470537663,0.19781615033011682
0.25254821181233794,0.210296965784377,0.24581707559023874,0.19959370238699847
0.25574457506126363,0.21158812136862493,0.24862773626082932,0.20238699847638394
0.25837269595482476,0.2132020658489348,0.2517690628926658,0.20441848654139158
0.2613204531732784,0.21530019367333764,0.254612790159381,0.2069578466226511
0.2630606953865824,0.2170755326016785,0.2570266516764764,0.20822752666328084
0.26590190716340517,0.2196578437701743,0.26006877851993915,0.2107668867445404
0.26774869481834,0.22094899935442222,0.2623503736525362,0.21203656678517013
0.2707674823312143,0.22256294383473207,0.26572316645724486,0.21381411884205181
0.2732180274887239,0.22433828276307294,0.2683354275510879,0.21559167089893347
0.2757751180878645,0.2262750161394448,0.27065008927980955,0.2171152869476892
0.2776219057427993,0.22740477727566172,0.27313008398915417,0.2186389029964449
0.28085378413893525,0.22950290510006455,0.2760399444481185,0.2206703910614525
0.2831622687076038,0.23240800516462234,0.278123140003968,0.22346368715083798
0.2855062684234826,0.23386055519690122,0.2804378017326896,0.2270187912646013
0.28735305607841743,0.23628147191736604,0.28291779644203424,0.22955815134586086
0.2896260254998757,0.23773402194964494,0.2852655247668805,0.23158963941086846
0.29207657065738535,0.23902517753389282,0.2873156537266054,0.23362112747587607
0.2956280853784139,0.24128469980632666,0.2909199127041862,0.23590655154900966
0.2975814184749796,0.24273724983860556,0.29287084187553736,0.2371762315896394
0.30052917569343324,0.24564234990316333,0.29545003637325573,0.24073133570340274
0.3025180239372092,0.24757908327953518,0.29710336617948546,0.24174707973590656
0.3045068721809852,0.25064557779212393,0.2995502942927055,0.2430167597765363
0.30624711439428914,0.2525823111684958,0.3014020236756828,0.24555611985779582
0.30869765955179884,0.2550032278889606,0.30384895178890287,0.24784154393092941
0.3109706289732571,0.25581020012911554,0.3062297467098737,0.250126968004063
0.3138473558972902,0.2579083279535184,0.3095364063223332,0.2531742001015744
0.3162623859075896,0.25936087798579727,0.31185106805105484,0.25495175215845606
0.3187484462123096,0.2617817947062621,0.31495932808676674,0.25723717623158965
0.32112796107539865,0.26387992253066495,0.31710865683486544,0.25901472828847133
0.32411123344106263,0.26533247256294384,0.32005158388995436,0.2610462163534789
