N,E,S1,S2,D
0.35098,0.1931,0.27972,0.12178,0.05442
0.35026,0.19297,0.2799,0.12188,0.05499
0.35025,0.19304,0.27967,0.12154,0.0555
0.35,0.1931,0.2791,0.12175,0.05605
0.34989,0.19348,0.2783,0.12185,0.05648
0.3496,0.19334,0.27819,0.12195,0.05692
0.34949,0.1937,0.27777,0.12159,0.05745
0.34902,0.19402,0.27741,0.12161,0.05794
0.34895,0.19404,0.27704,0.1213,0.05867
0.34897,0.19343,0.27721,0.12127,0.05912
0.34939,0.19356,0.27658,0.12085,0.05962
0.34951,0.19337,0.27599,0.12092,0.06021
0.34968,0.1933,0.27567,0.12045,0.0609
0.35003,0.1928,0.27522,0.12051,0.06144
0.34977,0.19282,0.27503,0.1204,0.06198
0.34995,0.19246,0.27463,0.12046,0.0625
0.35012,0.19268,0.2741,0.12006,0.06304
0.34944,0.1926,0.27411,0.12025,0.0636
0.3493,0.19288,0.27391,0.11972,0.06419
0.34883,0.19327,0.27363,0.11949,0.06478
0.34896,0.19338,0.27312,0.11914,0.0654
0.34841,0.19353,0.27291,0.11921,0.06594
0.3483,0.19418,0.27236,0.11863,0.06653
0.34775,0.19424,0.27272,0.11827,0.06702
0.34746,0.19471,0.27222,0.11799,0.06762
0.34702,0.19485,0.27217,0.1177,0.06826
0.3469,0.19509,0.27167,0.11753,0.06881
0.34671,0.19533,0.27125,0.11735,0.06936
0.34665,0.19526,0.27126,0.11687,0.06996
0.34642,0.1952,0.27107,0.11677,0.07054
0.34601,0.19543,0.27036,0.11689,0.07131
0.34599,0.19549,0.27007,0.11659,0.07186
0.34595,0.19549,0.26924,0.11673,0.07259
0.34578,0.19552,0.2688,0.11665,0.07325
0.34597,0.19539,0.26852,0.11632,0.0738
0.34577,0.1953,0.26846,0.11618,0.07429
0.34587,0.19565,0.26792,0.11563,0.07493
0.34581,0.1954,0.26741,0.11577,0.07561
0.34599,0.19531,0.26694,0.11552,0.07624
0.34632,0.19482,0.26639,0.11556,0.07691
0.3467,0.19515,0.26542,0.11511,0.07762
0.34627,0.19462,0.26554,0.11526,0.07831
0.3465,0.19501,0.26494,0.11457,0.07898
0.34645,0.19537,0.26424,0.1144,0.07954
0.34648,0.19538,0.26347,0.11427,0.0804
0.34633,0.19502,0.26351,0.11407,0.08107
0.34626,0.19489,0.26292,0.1142,0.08173
0.34575,0.19452,0.26313,0.1143,0.0823
0.346,0.19454,0.2624,0.11417,0.08289
0.34571,0.19451,0.26182,0.11425,0.08371
0.34594,0.19493,0.26066,0.11404,0.08443
0.34576,0.19498,0.26,0.11405,0.08521
0.34582,0.19526,0.25889,0.11409,0.08594
0.34566,0.19479,0.25865,0.11435,0.08655
0.34575,0.19527,0.25779,0.11388,0.08731
0.3452,0.19541,0.25766,0.11367,0.08806
0.345,0.19572,0.25734,0.11325,0.08869
0.34487,0.19572,0.25692,0.11296,0.08953
0.34482,0.19587,0.25608,0.11294,0.09029
0.34475,0.19572,0.25586,0.11273,0.09094
0.34461,0.19594,0.25564,0.11228,0.09153
0.34442,0.19597,0.25521,0.11224,0.09216
0.34456,0.19591,0.25469,0.11199,0.09285
0.34408,0.19593,0.25444,0.11196,0.09359
0.34393,0.19598,0.254,0.1117,0.09439
0.34365,0.19554,0.25344,0.11224,0.09513
0.34357,0.19608,0.25301,0.11165,0.09569
0.34303,0.19673,0.25258,0.11112,0.09654
0.34316,0.19702,0.25151,0.11093,0.09738
0.34266,0.19686,0.25153,0.11079,0.09816
0.34279,0.19733,0.25094,0.11024,0.0987
0.34252,0.19741,0.25077,0.10991,0.09939
0.34274,0.19757,0.24984,0.10971,0.10014
0.34201,0.19807,0.24954,0.10961,0.10077
0.34223,0.19805,0.24863,0.10934,0.10175
0.34208,0.19813,0.2481,0.10921,0.10248
0.34168,0.19884,0.24761,0.1087,0.10317
0.34104,0.19902,0.24768,0.10853,0.10373
0.34113,0.19904,0.24702,0.10826,0.10455
0.34078,0.19926,0.24661,0.10795,0.1054
0.34098,0.1993,0.24583,0.10764,0.10625
0.34046,0.19913,0.24557,0.10785,0.10699
0.34086,0.1984,0.24501,0.10789,0.10784
0.34046,0.19806,0.2448,0.10809,0.10859
0.34044,0.1981,0.2442,0.10775,0.10951
0.34031,0.1982,0.24357,0.10771,0.11021
0.33998,0.19833,0.2433,0.1075,0.11089
0.34022,0.19835,0.24261,0.1073,0.11152
0.34028,0.19819,0.24178,0.10736,0.11239
0.33976,0.198,0.2416,0.10746,0.11318
0.33964,0.19843,0.24056,0.10719,0.11418
0.33937,0.19842,0.24055,0.10668,0.11498
0.33907,0.19865,0.23988,0.10649,0.11591
0.33867,0.19873,0.23936,0.10655,0.11669
0.33917,0.19909,0.238,0.10623,0.11751
0.33954,0.19868,0.23718,0.10631,0.11829
0.33946,0.19883,0.23625,0.1063,0.11916
0.3392,0.19868,0.23563,0.10651,0.11998
0.33935,0.19872,0.23459,0.1065,0.12084
0.33897,0.19862,0.23403,0.10677,0.12161
0.33905,0.19849,0.23345,0.10646,0.12255
0.33836,0.19799,0.2337,0.10653,0.12342
0.33809,0.19765,0.23355,0.10648,0.12423
0.33787,0.19774,0.23264,0.10664,0.12511
0.33789,0.19815,0.23113,0.10686,0.12597
0.33729,0.19828,0.23091,0.10664,0.12688
0.33744,0.19825,0.22999,0.10659,0.12773
0.33723,0.19791,0.22937,0.10679,0.1287
0.33763,0.19837,0.22791,0.10657,0.12952
0.33698,0.1982,0.22768,0.10682,0.13032
0.33677,0.19852,0.22705,0.10628,0.13138
0.33613,0.19837,0.22713,0.10605,0.13232
0.33584,0.19837,0.22679,0.10577,0.13323
0.33579,0.19798,0.22608,0.10592,0.13423
0.33574,0.19825,0.2257,0.1051,0.13521
0.33524,0.19895,0.22468,0.10483,0.1363
