N,E,S1,S2,D
0.35032,0.19277,0.28034,0.12214,0.05443
0.34956,0.19274,0.28051,0.12219,0.055
0.34948,0.19287,0.28037,0.12177,0.05551
0.34921,0.19301,0.27977,0.12195,0.05606
0.34913,0.19343,0.27903,0.12192,0.05649
0.34898,0.19328,0.27859,0.12222,0.05693
0.34903,0.19362,0.27791,0.12198,0.05746
0.34869,0.19373,0.27759,0.12204,0.05795
0.34855,0.1939,0.27703,0.12183,0.05869
0.34862,0.19325,0.27724,0.12175,0.05914
0.34897,0.1934,0.27673,0.12126,0.05964
0.34904,0.19327,0.27613,0.12133,0.06023
0.34929,0.19315,0.27583,0.12081,0.06092
0.34956,0.19287,0.27523,0.12088,0.06146
0.34927,0.19281,0.27504,0.12088,0.062
0.34931,0.19252,0.27474,0.1209,0.06253
0.34938,0.19287,0.27411,0.12057,0.06307
0.34875,0.19269,0.27415,0.12078,0.06363
0.34871,0.19294,0.27391,0.12022,0.06422
0.34836,0.19344,0.27326,0.12013,0.06481
0.3485,0.19364,0.27261,0.11983,0.06542
0.34804,0.19381,0.27233,0.11986,0.06596
0.34793,0.19454,0.27161,0.11938,0.06654
0.34735,0.19463,0.27197,0.11903,0.06702
0.34716,0.19496,0.27148,0.11878,0.06762
0.34673,0.19522,0.27134,0.11846,0.06825
0.34667,0.19552,0.27085,0.11815,0.06881
0.34637,0.19584,0.27048,0.11794,0.06937
0.34636,0.19564,0.27055,0.11747,0.06998
0.34615,0.19556,0.2704,0.11733,0.07056
0.34574,0.19581,0.26973,0.1174,0.07132
0.34571,0.19585,0.26949,0.11708,0.07187
0.34575,0.19578,0.26873,0.11715,0.07259
0.34567,0.19573,0.26828,0.11707,0.07325
0.34588,0.19548,0.26813,0.11671,0.0738
0.34583,0.19525,0.26815,0.11647,0.0743
0.34618,0.19544,0.26739,0.11604,0.07495
0.34616,0.19522,0.26685,0.11615,0.07562
0.34608,0.19546,0.26618,0.11604,0.07624
0.34643,0.195,0.26556,0.1161,0.07691
0.34678,0.19542,0.26446,0.11572,0.07762
0.3464,0.19501,0.26437,0.11591,0.07831
0.34685,0.19512,0.26391,0.11514,0.07898
0.34685,0.19533,0.26334,0.11494,0.07954
0.3468,0.1955,0.26269,0.11463,0.08038
0.34676,0.19512,0.26278,0.11429,0.08105
0.34666,0.19516,0.26199,0.11449,0.0817
0.34619,0.1948,0.2622,0.11454,0.08227
0.3466,0.19463,0.26141,0.11451,0.08285
0.34637,0.19466,0.26068,0.11463,0.08366
0.34664,0.19503,0.25952,0.11443,0.08438
0.34647,0.19513,0.25871,0.11453,0.08516
0.34668,0.1953,0.2576,0.11453,0.08589
0.34656,0.19486,0.25743,0.11465,0.0865
0.34671,0.19533,0.25643,0.11427,0.08726
0.3461,0.1954,0.25649,0.114,0.08801
0.34605,0.19562,0.25622,0.11347,0.08864
0.34589,0.19553,0.25584,0.11326,0.08948
0.34581,0.1957,0.25501,0.11324,0.09024
0.34561,0.19566,0.25476,0.11308,0.09089
0.3455,0.19579,0.25449,0.11273,0.09149
0.34539,0.19564,0.25419,0.11266,0.09212
0.34536,0.19575,0.25377,0.11231,0.09281
0.34485,0.19582,0.25359,0.11219,0.09355
0.34458,0.19591,0.25324,0.11193,0.09434
0.34423,0.19556,0.25278,0.11236,0.09507
0.34421,0.19595,0.25251,0.1117,0.09563
0.3438,0.19658,0.25193,0.11119,0.0965
0.3439,0.19693,0.25092,0.11091,0.09734
0.34342,0.19687,0.25084,0.11075,0.09812
0.34362,0.19723,0.25011,0.11038,0.09866
0.34328,0.19741,0.24988,0.11006,0.09937
0.34358,0.1975,0.24884,0.10996,0.10012
0.34272,0.19814,0.2484,0.10999,0.10075
0.34293,0.19812,0.24736,0.10986,0.10173
0.34267,0.19808,0.24697,0.1098,0.10248
0.34246,0.19854,0.24655,0.10928,0.10317
0.34197,0.19864,0.2465,0.10916,0.10373
0.34202,0.19851,0.24606,0.10886,0.10455
0.3417,0.19867,0.24559,0.10864,0.1054
0.34187,0.19863,0.24491,0.10834,0.10625
0.34135,0.19842,0.24472,0.10853,0.10698
0.34167,0.19767,0.24431,0.10851,0.10784
0.34126,0.19742,0.24403,0.1087,0.10859
0.34128,0.19744,0.24332,0.10847,0.10949
0.34108,0.19759,0.24286,0.10828,0.11019
0.34084,0.19758,0.24264,0.10808,0.11086
0.34113,0.1976,0.242,0.10778,0.11149
0.3412,0.19744,0.24108,0.10791,0.11237
0.3405,0.19758,0.2408,0.10796,0.11316
0.34026,0.19799,0.23981,0.10778,0.11416
0.34007,0.19806,0.23966,0.10725,0.11496
0.3398,0.19825,0.23902,0.10703,0.1159
0.33952,0.19833,0.23836,0.10712,0.11667
0.33996,0.19862,0.23711,0.1068,0.11751
0.3404,0.19851,0.23597,0.10685,0.11827
0.3403,0.19863,0.23528,0.10665,0.11914
0.3402,0.19834,0.23483,0.10666,0.11997
0.34055,0.19828,0.23392,0.10642,0.12083
0.34028,0.19828,0.23323,0.10656,0.12165
0.34019,0.19844,0.2325,0.10628,0.12259
0.33955,0.19807,0.23265,0.10627,0.12346
0.33927,0.19776,0.2324,0.10631,0.12426
0.3389,0.1979,0.23159,0.10648,0.12513
0.33884,0.19839,0.23019,0.10659,0.12599
0.33833,0.19836,0.23002,0.10639,0.1269
0.33832,0.19826,0.22943,0.10624,0.12775
0.33828,0.19771,0.22892,0.1064,0.12869
0.33871,0.19841,0.22723,0.10615,0.1295
0.33806,0.19807,0.22715,0.10643,0.13029
0.33781,0.19836,0.22653,0.10594,0.13136
0.33728,0.19818,0.22652,0.10571,0.13231
0.33691,0.19836,0.22609,0.10542,0.13322
0.33673,0.19799,0.22552,0.10554,0.13422
0.3367,0.19844,0.2249,0.10478,0.13518
0.33617,0.19917,0.22382,0.10456,0.13628
0.33617,0.19953,0.22286,0.10417,0.13727
0.33575,0.19997,0.22209,0.10388,0.13831
0.33592,0.20006,0.22112,0.10358,0.13932
0.33561,0.20009,0.22055,0.10348,0.14027
0.33571,0.20053,0.21949,0.10299,0.14128
0.33476,0.20104,0.21938,0.1027,0.14212
0.33487,0.2008,0.21901,0.10236,0.14296
0.33446,0.20099,0.21845,0.10204,0.14406
0.33432,0.20139,0.21772,0.10164,0.14493
0.33373,0.20143,0.21697,0.10185,0.14602
0.33367,0.20145,0.21604,0.10178,0.14706
0.33339,0.20127,0.21541,0.10182,0.14811
0.33336,0.20102,0.21488,0.1017,0.14904
0.33242,0.20132,0.21451,0.10161,0.15014
0.33272,0.20125,0.21359,0.10138,0.15106
0.33203,0.2014,0.21306,0.10145,0.15206
0.33249,0.20089,0.21236,0.10136,0.1529
0.33203,0.20079,0.21199,0.10116,0.15403
0.33197,0.20065,0.21154,0.10083,0.15501
0.33133,0.20053,0.2114,0.10075,0.15599
