N,E,S1,S2,D
0.37823,0.20431,0.27532,0.09139,0.05075
0.37869,0.20193,0.27576,0.09236,0.05126
0.3795,0.2016,0.27592,0.09128,0.0517
0.38003,0.20126,0.27537,0.09115,0.05219
0.3808,0.20097,0.27474,0.09088,0.05261
0.381,0.20056,0.27437,0.09098,0.05309
0.38034,0.20174,0.27233,0.09195,0.05364
0.37978,0.20198,0.27243,0.09169,0.05412
0.38055,0.2015,0.27166,0.09154,0.05475
0.3809,0.2012,0.27121,0.09151,0.05518
0.38236,0.20017,0.27044,0.09138,0.05565
0.38241,0.2001,0.27001,0.09131,0.05617
0.38304,0.20002,0.26883,0.09128,0.05683
0.38317,0.19952,0.26881,0.09116,0.05734
0.38399,0.19958,0.26752,0.09099,0.05792
0.3803,0.2014,0.26906,0.09089,0.05835
0.38045,0.20161,0.26862,0.09047,0.05885
0.38066,0.20103,0.26836,0.09052,0.05943
0.38119,0.20186,0.26745,0.08958,0.05992
0.38092,0.20314,0.26619,0.08934,0.06041
0.38126,0.20378,0.26495,0.08907,0.06094
0.38079,0.20396,0.265,0.08884,0.06141
0.38144,0.20376,0.26461,0.08821,0.06198
0.38131,0.20352,0.2646,0.08813,0.06244
0.38195,0.2024,0.26516,0.08752,0.06297
0.38191,0.20228,0.26609,0.08619,0.06353
0.38231,0.20247,0.26556,0.08563,0.06403
0.38239,0.20241,0.26447,0.08617,0.06456
0.38289,0.20257,0.26348,0.08594,0.06512
0.38268,0.20245,0.26186,0.0873,0.06571
0.38307,0.20234,0.26135,0.08687,0.06637
0.3832,0.20078,0.2593,0.08987,0.06685
0.38314,0.19949,0.25927,0.09064,0.06746
0.3772,0.20384,0.26027,0.09063,0.06806
0.37492,0.20807,0.2577,0.09074,0.06857
0.37499,0.20759,0.25729,0.0911,0.06903
0.37532,0.20777,0.25678,0.0904,0.06973
0.37491,0.20684,0.2577,0.09023,0.07032
0.37573,0.20644,0.25684,0.09007,0.07092
0.37697,0.20711,0.25374,0.09067,0.07151
0.37749,0.20702,0.25222,0.09105,0.07222
0.37688,0.20766,0.25153,0.09108,0.07285
0.37647,0.2084,0.25066,0.09099,0.07348
0.37625,0.20623,0.25245,0.09104,0.07403
0.37704,0.20373,0.25348,0.091,0.07475
0.37698,0.20357,0.25326,0.09079,0.0754
0.37808,0.20366,0.25165,0.09059,0.07602
0.37505,0.20603,0.25093,0.09144,0.07655
0.37567,0.20609,0.24986,0.09125,0.07713
0.37585,0.20593,0.24895,0.09141,0.07786
0.376,0.20594,0.24878,0.09081,0.07847
0.37626,0.2058,0.24831,0.09045,0.07918
0.37714,0.20693,0.24616,0.0899,0.07987
0.37614,0.20727,0.24617,0.09002,0.0804
0.3769,0.20556,0.24713,0.08939,0.08102
0.37424,0.20666,0.24786,0.08946,0.08178
0.37404,0.20659,0.24773,0.08929,0.08235
0.37422,0.20587,0.24765,0.08915,0.08311
0.37481,0.2056,0.24655,0.08918,0.08386
0.37466,0.20522,0.24664,0.08899,0.08449
0.3753,0.20509,0.24581,0.08876,0.08504
0.37558,0.20482,0.24514,0.08877,0.08569
0.3761,0.20442,0.24453,0.08863,0.08632
0.37574,0.20542,0.2431,0.08874,0.087
0.37638,0.2039,0.24347,0.08853,0.08772
0.37392,0.20589,0.24304,0.08878,0.08837
0.37361,0.20642,0.24304,0.08802,0.08891
0.37199,0.20721,0.24486,0.0863,0.08964
0.37201,0.20741,0.2443,0.08581,0.09047
0.37208,0.20763,0.24361,0.08558,0.0911
0.37231,0.20777,0.24327,0.08504,0.09161
0.37231,0.20762,0.24327,0.08454,0.09226
0.37261,0.20773,0.2426,0.08413,0.09293
0.37224,0.20838,0.24175,0.08407,0.09356
0.37264,0.20802,0.24109,0.08382,0.09443
0.37266,0.20646,0.24185,0.08382,0.09521
0.37352,0.20743,0.24079,0.08237,0.09589
0.37308,0.20761,0.23978,0.08306,0.09647
0.37369,0.20739,0.23898,0.08282,0.09712
0.37293,0.207,0.23836,0.08382,0.09789
0.37336,0.20648,0.23785,0.08363,0.09868
0.37259,0.20698,0.23735,0.08367,0.09941
