N,E,S1,S2
0.33515,0.15037,0.3525,0.16198
0.3351873712010564,0.15034713191012586,0.3525239591044597,0.16194153778435805
0.3352580909873306,0.15030122290494966,0.34988891779917136,0.1645517683085483
0.33603660429119236,0.1510727980856837,0.3498232861762733,0.1630673114468507
0.3364813572222612,0.1516960270803497,0.34973109933801366,0.16209151635937546
0.33751452731134535,0.15268705165711538,0.349456979120747,0.16034144191079228
0.337903799701316,0.15327099056840163,0.3491896442854136,0.15963556544486876
0.33673213623284304,0.15265537742753732,0.35325493026939775,0.15735755607022187
0.3370308707600345,0.153200409203057,0.3530981084388101,0.15667061159809842
0.3381489841986456,0.1543315776272887,0.352886882367695,0.1546325558063707
0.33221594387627085,0.1616869235324227,0.3528608850125957,0.1532362475787107
0.3332663982570106,0.1629233225233185,0.3521521300414663,0.1516581491782046
0.3334772784333417,0.16332412754205372,0.3518955561134823,0.15130303791112226
0.33574112399284695,0.1647210110711487,0.34881150917237636,0.15072635576362797
0.33630844691030437,0.16347042978329915,0.35033972580710004,0.14988139749929644
0.33702985029609,0.16430230336909202,0.35012014517961454,0.14854770115520344
0.33457372449236156,0.16844847180456798,0.3495087045287687,0.1474690991743018
0.3356105119124276,0.17000362202189312,0.3487302801030264,0.14565558596265293
0.33613496129727116,0.1703222039920682,0.3484453481232448,0.14509748658741584
0.3376164342178138,0.17143144856754444,0.34747495090881625,0.1434771663058255
0.33405869374678876,0.17392530802631445,0.3491905179274841,0.14282548029941267
0.33565129755605944,0.17445200302343158,0.34851095993953135,0.14138573948097757
0.33626364763642597,0.1752341395058119,0.3480890788664523,0.14041313399130986
0.3375555936545075,0.17619532660326553,0.34735822987787046,0.1388908498643565
0.33643068293027434,0.17448066426546405,0.35056549330589104,0.1385231594983706
0.3354359476398575,0.1781738542434121,0.3469212680278151,0.13946893008891537
0.3364060417592181,0.1789002867412463,0.34635111667541696,0.13834255482411859
0.3327104502939335,0.17881456940263832,0.35144744550615137,0.13702753479727683
0.33367351062969847,0.1793205884730418,0.35018389782555975,0.13682200307169995
0.33584692051875586,0.18014940007480112,0.34907863215033,0.13492504725611296
0.3360400444938821,0.17848114066134088,0.35108706643745574,0.13439174840732127
0.3355959293503551,0.1777469803953305,0.3542294697230259,0.13242762053128856
0.3364571104724123,0.176678945877019,0.3550176091972635,0.13184633445330526
0.3379933794276343,0.17725722037192634,0.3538766791856898,0.1308727210147495
0.3385553271425533,0.1780271192619672,0.3534921872626558,0.12992536633282362
0.3400698981917642,0.1791622347161019,0.35230714683685355,0.12846072025528035
0.3408591145384717,0.17931153288813675,0.3520363183121713,0.12779303426122027
