N,E,S1,S2,D
0.36539,0.20159,0.28213,0.09955,0.05134
0.36564,0.20005,0.28194,0.1005,0.05187
0.36641,0.19979,0.28199,0.0995,0.05231
0.36675,0.19959,0.2816,0.09927,0.05279
0.36751,0.19896,0.28134,0.09897,0.05322
0.36764,0.1986,0.28103,0.09903,0.0537
0.36748,0.19921,0.2791,0.09996,0.05425
0.3666,0.19988,0.27916,0.09963,0.05473
0.36735,0.1994,0.27848,0.09941,0.05536
0.36768,0.19917,0.27808,0.09928,0.05579
0.36898,0.19816,0.27755,0.09903,0.05628
0.36906,0.19819,0.27695,0.09899,0.05681
0.36968,0.19804,0.27588,0.09892,0.05748
0.36949,0.19787,0.2758,0.09884,0.058
0.37015,0.19792,0.27471,0.09864,0.05858
0.36637,0.19985,0.27615,0.09862,0.05901
0.36657,0.19946,0.27631,0.09815,0.05951
0.36626,0.19949,0.27605,0.09811,0.06009
0.3666,0.20025,0.27538,0.09718,0.06059
0.36659,0.20055,0.27472,0.09706,0.06108
0.36692,0.20107,0.27354,0.09684,0.06163
0.36631,0.20136,0.27353,0.09668,0.06212
0.36682,0.20139,0.27302,0.09608,0.06269
0.36667,0.20119,0.27296,0.09601,0.06317
0.3672,0.20089,0.27279,0.09541,0.06371
0.36718,0.20074,0.27378,0.09402,0.06428
0.36757,0.20089,0.27224,0.09452,0.06478
0.36766,0.2008,0.27114,0.0951,0.0653
0.36816,0.20088,0.27018,0.0949,0.06588
0.36796,0.20057,0.26982,0.09518,0.06647
0.36824,0.20065,0.26835,0.09561,0.06715
0.36819,0.19915,0.26754,0.09749,0.06763
0.36807,0.19798,0.26743,0.09827,0.06825
0.36208,0.20126,0.26958,0.09823,0.06885
0.35947,0.20513,0.26782,0.09821,0.06937
0.35944,0.2047,0.26746,0.09857,0.06983
0.35969,0.2049,0.26707,0.09781,0.07053
0.35936,0.20387,0.26794,0.09772,0.07111
0.35989,0.2038,0.26711,0.09748,0.07172
0.36101,0.20451,0.26413,0.09804,0.07231
0.36097,0.20499,0.26257,0.09845,0.07302
0.36107,0.20491,0.26198,0.09838,0.07366
0.36112,0.20519,0.26116,0.09823,0.0743
0.36104,0.20407,0.2619,0.09813,0.07486
0.36174,0.20174,0.26284,0.0981,0.07558
0.36152,0.2015,0.26289,0.09785,0.07624
0.36247,0.20171,0.26137,0.09756,0.07689
0.35937,0.20409,0.26059,0.09849,0.07746
0.36007,0.20403,0.25953,0.09832,0.07805
0.36024,0.20386,0.25872,0.0984,0.07878
0.36023,0.20392,0.25858,0.09786,0.07941
0.36041,0.20383,0.25819,0.09743,0.08014
0.36123,0.20488,0.2561,0.09695,0.08084
0.3602,0.20521,0.25609,0.09713,0.08137
0.3609,0.20344,0.2571,0.09657,0.08199
0.35956,0.2043,0.2567,0.0967,0.08274
0.35924,0.20437,0.25649,0.09659,0.08331
0.35909,0.20448,0.25582,0.09652,0.08409
0.35971,0.20422,0.25459,0.09663,0.08485
0.35948,0.20392,0.25455,0.09656,0.08549
0.35999,0.20346,0.25418,0.09631,0.08606
0.36019,0.20329,0.25349,0.09632,0.08671
0.36069,0.20309,0.2526,0.09626,0.08736
0.36009,0.20381,0.25174,0.0963,0.08806
0.36075,0.2023,0.25207,0.09607,0.08881
0.3582,0.20443,0.25162,0.09629,0.08946
0.35838,0.20451,0.25217,0.09494,0.09
0.35738,0.20462,0.25317,0.0941,0.09073
0.35735,0.20468,0.25283,0.09358,0.09156
0.35728,0.205,0.2521,0.09342,0.0922
0.35764,0.20487,0.25195,0.09283,0.09271
0.35763,0.20472,0.25188,0.09241,0.09336
0.35801,0.20493,0.25099,0.09204,0.09403
0.35754,0.20551,0.25034,0.09194,0.09467
0.3576,0.20544,0.24968,0.09172,0.09556
0.35767,0.20377,0.25046,0.09174,0.09636
0.35851,0.2047,0.24832,0.09143,0.09704
0.3577,0.20514,0.24748,0.09206,0.09762
0.35822,0.20554,0.24612,0.09185,0.09827
0.35794,0.20536,0.2447,0.09294,0.09906
0.35829,0.2048,0.2444,0.09265,0.09986
0.35753,0.20527,0.24389,0.0927,0.10061
0.35553,0.20746,0.24321,0.09235,0.10145
0.35562,0.20703,0.24126,0.09391,0.10218
0.35606,0.20694,0.24037,0.09356,0.10307
0.35613,0.20661,0.23994,0.09359,0.10373
0.35654,0.20657,0.23925,0.09325,0.10439
0.35667,0.20547,0.23943,0.09339,0.10504
0.35611,0.20271,0.24216,0.09315,0.10587
0.35578,0.2028,0.24071,0.09414,0.10657
0.35642,0.20299,0.23954,0.09349,0.10756
0.35623,0.20266,0.23864,0.09412,0.10835
0.35584,0.20308,0.23783,0.09399,0.10926
0.35601,0.2026,0.23761,0.09375,0.11003
0.35652,0.20317,0.23596,0.09353,0.11082
0.35644,0.20286,0.23601,0.09318,0.11151
0.35684,0.20276,0.23508,0.09299,0.11233
0.35653,0.20146,0.23672,0.09205,0.11324
0.35329,0.20442,0.23617,0.09198,0.11414
0.35273,0.2049,0.23553,0.092,0.11484
0.35242,0.20481,0.2354,0.09158,0.11579
0.35135,0.20485,0.2356,0.09164,0.11656
0.3516,0.20617,0.23358,0.09123,0.11742
0.35176,0.20509,0.2338,0.09109,0.11826
0.35201,0.20514,0.23267,0.09108,0.1191
0.35101,0.2051,0.23265,0.09124,0.12
0.35164,0.20354,0.23298,0.09098,0.12086
0.35161,0.20197,0.23176,0.0929,0.12176
0.35214,0.20213,0.23059,0.09255,0.12259
0.35262,0.20196,0.22932,0.09267,0.12343
0.35258,0.20218,0.22843,0.0924,0.12441
0.35243,0.2017,0.22848,0.09213,0.12526
0.35245,0.20199,0.2275,0.09202,0.12604
0.35208,0.20144,0.22761,0.09199,0.12688
0.3525,0.20152,0.22704,0.09113,0.12781
0.34952,0.20432,0.22636,0.09085,0.12895
0.34963,0.2046,0.22553,0.09032,0.12992
0.34924,0.20565,0.22435,0.08989,0.13087
0.35012,0.20683,0.22184,0.08937,0.13184
0.34984,0.20699,0.22131,0.08907,0.13279
0.34979,0.20675,0.2207,0.089,0.13376
0.34985,0.20608,0.22049,0.08895,0.13463
0.35034,0.20678,0.21911,0.08827,0.1355
0.34997,0.20679,0.21866,0.088,0.13658
0.34775,0.20916,0.21767,0.08804,0.13738
0.34719,0.20741,0.21894,0.08811,0.13835
0.34709,0.20769,0.2182,0.08769,0.13933
0.34714,0.20747,0.21713,0.08798,0.14028
0.34695,0.20721,0.21644,0.08824,0.14116
0.34594,0.20723,0.21636,0.08824,0.14223
0.34544,0.20791,0.2147,0.0889,0.14305
0.34566,0.20716,0.21337,0.08981,0.144
0.34413,0.20905,0.21258,0.08944,0.1448
0.34356,0.20893,0.21248,0.08924,0.14579
0.34352,0.20871,0.21249,0.08853,0.14675
0.34309,0.20805,0.21263,0.08854,0.14769
0.34374,0.20871,0.21158,0.08743,0.14854
0.34333,0.20815,0.21167,0.08723,0.14962
0.34368,0.20922,0.20887,0.08747,0.15076
0.34319,0.20839,0.2074,0.08923,0.15179
0.34345,0.2086,0.20621,0.08891,0.15283
0.34367,0.20844,0.20555,0.08826,0.15408
0.34448,0.20904,0.20294,0.08843,0.15511
0.34371,0.2091,0.2027,0.0881,0.15639
0.34131,0.21141,0.20154,0.0883,0.15744
0.34081,0.21111,0.20169,0.08791,0.15848
0.3403,0.20986,0.20262,0.08765,0.15957
0.34002,0.20959,0.20217,0.08764,0.16058
0.33985,0.20914,0.2017,0.08771,0.1616
0.34033,0.20835,0.20124,0.08742,0.16266
0.34015,0.20763,0.20137,0.08715,0.1637
0.33951,0.20676,0.20147,0.08734,0.16492
0.33936,0.20661,0.2005,0.08748,0.16605
0.33895,0.20592,0.20061,0.0874,0.16712
0.3381,0.20642,0.20091,0.08622,0.16835
0.3368,0.20705,0.19948,0.08724,0.16943
0.33651,0.20818,0.19766,0.08719,0.17046
0.3359,0.20786,0.19701,0.08752,0.17171
0.33636,0.20854,0.19537,0.08711,0.17262
0.33602,0.20815,0.19573,0.08658,0.17352
0.33597,0.20806,0.19534,0.08614,0.17449
0.33594,0.20564,0.19685,0.08612,0.17545
0.33539,0.20662,0.19524,0.08609,0.17666
0.33492,0.20568,0.19561,0.08591,0.17788
0.3345,0.2052,0.19581,0.08548,0.17901
0.33153,0.2075,0.19541,0.08514,0.18042
0.33187,0.20792,0.19284,0.08557,0.1818
0.33107,0.20809,0.19245,0.08554,0.18285
0.33062,0.20852,0.19206,0.0849,0.1839
0.33068,0.20865,0.19095,0.08463,0.18509
0.3306,0.20938,0.18975,0.0842,0.18607
0.32848,0.21163,0.1886,0.08409,0.1872
0.32774,0.21211,0.18814,0.08357,0.18844
0.32729,0.21159,0.1878,0.08376,0.18956
0.32331,0.2153,0.18713,0.0834,0.19086
0.32291,0.21363,0.18807,0.08341,0.19198
0.32291,0.21309,0.1879,0.08298,0.19312
