NHB (insured),NHB (uninsured),NHW (insured),NHW (uninsured)
0.0,,0.0,
0.0,,0.0,
0.0,,0.0,
0.002562225475841874,,0.0021377672209026127,
0.004810709056682703,,0.003404592240696754,
0.008235724743777453,,0.006149379783584059,
0.009699853587115666,,0.007468989179202956,
0.013307885379627692,,0.011084718923198733,
0.014902740012549676,,0.012325151755080496,
0.01848462664714495,,0.015307468989179203,
0.02075925538590253,,0.01728688308260755,
0.024628738757582095,,0.020374769068355766,
0.025831416021752773,,0.02124571126946424,
0.035034511608450114,,0.02876748482449195,
0.03733528550512445,,0.03056215360253365,
0.04026354319180088,,0.033597255212457114,
0.043113365404727044,,0.0359989443124835,
0.04763647772432546,,0.040089733438902084,
0.04954507425224848,,0.04130377408287147,
0.054303492993097675,,0.04523621008181578,
0.056395105626437986,,0.047136447611506996,
0.06016000836645053,,0.05117445236210082,
0.06319284668479398,,0.053391396146740565,
0.06716691068814055,,0.05690155713908683,
0.06863103953147877,,0.05806281340723146,
0.07527190964233424,,0.06334125098970704,
0.07877536080317925,,0.06587490102929533,
0.08267098933277557,,0.06991290577988915,
0.08546852122986823,,0.07231459487991554,
0.09035766576030119,,0.07709158089205595,
0.09247542355155824,,0.07928213248878332,
0.09796590671407655,,0.08400633412509897,
0.10115561597992052,,0.08659276854051201,
0.10552185735201841,,0.0907891264185801,
0.10873771177577912,,0.09356030614937978,
0.11344384020079482,,0.09778305621536025,
0.11600606567663668,,0.09994721562417525,
0.12139196820748797,,0.10424914225389285,
0.12473854842083246,,0.1070467141726049,
0.12803283831834344,,0.11039852203747691,
0.13041204768876805,,0.11229875956716812,
0.13574565990378581,,0.11697017682765902,
0.13794185316879315,,0.11934547373977303,
0.14288328801505962,,0.1241488519398258,
0.1455500941225685,,0.1264185801002903,
0.15015164191591718,,0.1297703879651623,
0.15360280276092866,,0.13209290050145156,
0.157603011922192,,0.1362628661916073,
0.15966847939761555,,0.13803114278173662,
0.1641654465592972,,0.14206914753233044,
0.16714599456180715,,0.1449458960147796,
0.17091089730181971,,0.1486935866983373,
0.1731332357247438,,0.15106888361045132,
0.1771857352018406,,0.15539720242808128,
0.17888517046642963,,0.15695434151491158,
0.1832514118385275,,0.1610187384534178,
0.18583978247228614,,0.16405384006334126,
0.18991842710729973,,0.16737925574030088,
0.19250679774105836,,0.16988651359197676,
0.19606253921773686,,0.1732119292689364,
