N,E,S1,S2,D
0.37829,0.20673,0.27386,0.09042,0.0507
0.37876,0.20533,0.27244,0.09225,0.05122
0.37969,0.20477,0.27223,0.09165,0.05166
0.3801,0.20441,0.27177,0.09157,0.05215
0.38084,0.20408,0.27114,0.09137,0.05257
0.38101,0.20222,0.27228,0.09144,0.05305
0.38106,0.20281,0.27021,0.09231,0.05361
0.38109,0.2026,0.27033,0.0919,0.05408
0.38177,0.20223,0.26935,0.09195,0.0547
0.38208,0.20196,0.26885,0.09197,0.05514
0.38309,0.20125,0.26816,0.09189,0.05561
0.38317,0.20107,0.26776,0.09187,0.05613
0.38387,0.20077,0.26673,0.09185,0.05678
0.38406,0.20021,0.26655,0.09189,0.05729
0.38484,0.20014,0.26551,0.09164,0.05787
0.38162,0.20153,0.267,0.09156,0.05829
0.38185,0.20183,0.26621,0.09132,0.05879
0.3821,0.20137,0.26572,0.09145,0.05936
0.38286,0.20194,0.26484,0.09051,0.05985
0.38306,0.20177,0.26452,0.0903,0.06035
0.38293,0.20212,0.26409,0.08998,0.06088
0.38203,0.2027,0.26422,0.08969,0.06136
0.38265,0.20203,0.26432,0.08907,0.06193
0.38111,0.20304,0.26432,0.08913,0.0624
0.38167,0.20339,0.26322,0.08877,0.06295
0.3816,0.20309,0.26451,0.08729,0.06351
0.38199,0.20325,0.2639,0.08685,0.06401
0.38205,0.20207,0.26477,0.08658,0.06453
0.38271,0.2021,0.26383,0.08626,0.0651
0.38239,0.20209,0.26398,0.08585,0.06569
0.38272,0.2022,0.26332,0.0854,0.06636
0.38294,0.20066,0.26306,0.0865,0.06684
0.38252,0.19968,0.26308,0.08727,0.06745
0.37697,0.20365,0.26404,0.08729,0.06805
0.37574,0.20548,0.26289,0.08733,0.06856
0.37571,0.205,0.26251,0.08776,0.06902
0.37585,0.20541,0.26151,0.08751,0.06972
0.3761,0.20386,0.26227,0.08746,0.07031
0.37681,0.20362,0.2614,0.08726,0.07091
0.3777,0.20403,0.25845,0.08833,0.07149
0.3783,0.2039,0.25683,0.08878,0.07219
0.37876,0.20336,0.2562,0.08888,0.0728
0.37914,0.2027,0.25598,0.08873,0.07345
0.37896,0.20143,0.25918,0.08644,0.07399
0.37985,0.19896,0.25802,0.08846,0.07471
0.37968,0.19886,0.25782,0.08827,0.07537
0.38147,0.19953,0.25502,0.088,0.07598
0.37737,0.20294,0.25415,0.08902,0.07652
0.37803,0.20156,0.25254,0.09077,0.0771
0.37829,0.20149,0.2516,0.09078,0.07784
0.37801,0.20193,0.25134,0.09027,0.07845
0.37822,0.20147,0.25128,0.08987,0.07916
0.37913,0.2026,0.24894,0.08951,0.07982
0.37723,0.20375,0.24898,0.08969,0.08035
0.37785,0.20204,0.25018,0.08896,0.08097
0.37649,0.20303,0.24949,0.08925,0.08174
0.37637,0.20279,0.24941,0.08911,0.08232
0.37655,0.20212,0.24907,0.08918,0.08308
0.37762,0.20324,0.24611,0.08921,0.08382
