N,E,S1,S2
0.33515,0.15037,0.3525,0.16198
0.3351873712010564,0.15034713191012586,0.3525239591044597,0.16194153778435805
0.3352580909873306,0.15030122290494966,0.34988891779917136,0.1645517683085483
0.3361367254377797,0.15120295557624727,0.34986333463490826,0.1627969843510648
0.3366616258224755,0.15194640013620295,0.34981121871588666,0.1615807553254349
0.3377449605257885,0.15322806876928627,0.34965735582895846,0.15936961487596682
0.3381744194204729,0.15393250543745177,0.34944021809944775,0.15845285704262763
0.3370930710540299,0.1535577144805045,0.3535657352543087,0.1557834792111569
0.3374988716940636,0.15414163499052222,0.3530745083093464,0.15528498500606777
0.33873750953088005,0.15542357237449336,0.35307395962919863,0.15276495846542798
0.33287500752724863,0.16281940625062727,0.35316846986089645,0.15113711636122765
0.33406626506024095,0.16423694779116466,0.35241967871485946,0.14927710843373493
0.33432754880694143,0.16468827829999197,0.3521732144291797,0.14881095846388687
0.3369232160258793,0.16603542330141954,0.3490993479942535,0.14794201267844764
0.33757148744132753,0.16477541133547083,0.3507382428914597,0.14691485833174192
0.3385043834955361,0.1656981420413416,0.3505589962197378,0.14523847824338454
0.33620967093088744,0.16988494649609784,0.3499577600772387,0.143947622495776
0.3374449161921243,0.1716703221522426,0.34910557981367085,0.14177918184196228
0.3380775037745345,0.1719073980875692,0.34890790135883243,0.14110719677906391
0.3398114955492005,0.17309783703226325,0.34785717162766344,0.13923349579087285
0.3363555770470664,0.1757837685364281,0.34933107672469377,0.13852957769181173
0.33817067763131375,0.17640182206635224,0.34862135687507556,0.13680614342725844
0.33888463244485667,0.17739626597846686,0.34808863260615347,0.135630468970523
0.34031524490475085,0.17843708716128318,0.3473442179889271,0.1339034499450389
0.33922175926392995,0.17667295527688381,0.3505715236932638,0.13353376176592247
0.3386585661230421,0.18044566445987406,0.34671201356370096,0.13418375585338285
0.33979141636967564,0.18122343486557158,0.34605094448202406,0.13293420428272876
0.3362926602632084,0.18116534860467232,0.3505539900413094,0.13198800109080994
0.33737812578934073,0.18164182874463247,0.3488860823440263,0.1320939631220005
0.3396640252284305,0.18250181935796878,0.3477702757338077,0.130063879679793
0.3398450929240227,0.1809541143400271,0.34973406944528707,0.1294667232906631
0.33978333653641907,0.18002690592031398,0.35243721109009435,0.12775254645317258
0.3408451559369371,0.17899860354981684,0.35307927384590476,0.12707696666734128
0.3425951231362546,0.17968884435132043,0.3517759355419918,0.12594009697043312
0.3431652490886999,0.18053867962737952,0.3513568246253544,0.12493924665856622
0.34481291655693536,0.18170492068958533,0.34989769665538967,0.12358446609808967
0.3457657000425558,0.1819766145864997,0.34930188258658074,0.12295580278436379
