,age,prevalence,mean_n_alive,mean_n_htn,n_months
0,40,0.5159421938506423,99796.91666666667,51489.25,12
1,41,0.5219793716299465,99367.08333333333,51867.333333333336,12
2,42,0.5381660002949635,98920.0,53234.583333333336,12
3,43,0.55314506721388,98479.33333333333,54473.0,12
4,44,0.5597559969630191,98001.58333333333,54856.75,12
5,45,0.5662771681277868,97539.16666666667,55233.833333333336,12
6,46,0.574108329633623,97050.83333333333,55717.416666666664,12
7,47,0.5823783907742462,96543.16666666667,56224.333333333336,12
8,48,0.5876459042935469,96025.25,56428.75,12
9,49,0.5916998041103061,95525.08333333333,56521.916666666664,12
10,50,0.5990441012729794,94991.58333333333,56903.75,12
11,51,0.6070819469609355,94400.91666666667,57308.666666666664,12
12,52,0.6127203111378604,93777.16666666667,57459.083333333336,12
13,53,0.6205279778610474,93110.41666666667,57776.916666666664,12
14,54,0.629992651101713,92370.08333333333,58191.916666666664,12
15,55,0.6375152348771019,91593.5,58391.75,12
16,56,0.6429621890257757,90796.83333333333,58378.833333333336,12
17,57,0.6457539374963863,89945.08333333333,58081.916666666664,12
18,58,0.652202991124946,89013.33333333333,58054.416666666664,12
19,59,0.6568879057729315,88018.66666666667,57818.0,12
20,60,0.6569881250137374,86934.75,57115.583333333336,12
21,61,0.6581990728475241,85820.16666666667,56486.5,12
22,62,0.6596804784032431,84613.16666666667,55817.333333333336,12
23,63,0.6636144384449244,83325.58333333333,55295.833333333336,12
24,64,0.6654073038784759,82010.16666666667,54570.666666666664,12
25,65,0.6657059012173139,80632.33333333333,53676.916666666664,12
26,66,0.6708545936040452,79189.91666666667,53124.083333333336,12
27,67,0.675596553091442,77589.33333333333,52418.666666666664,12
28,68,0.6763603286491614,75949.5,51369.583333333336,12
29,69,0.6753788614710103,74234.33333333333,50136.083333333336,12
30,70,0.6770050594635415,72401.08333333333,49015.666666666664,12
31,71,0.6778486453329625,70443.83333333333,47749.833333333336,12
32,72,0.6764519308288759,68398.16666666667,46268.75,12
33,73,0.6753034366459857,66265.33333333333,44749.166666666664,12
34,74,0.6781101106328474,64181.416666666664,43521.25,12
35,75,0.6787247332091234,61865.75,41989.833333333336,12
36,76,0.6768170997305183,59442.333333333336,40232.666666666664,12
37,77,0.6750209093280649,56924.083333333336,38424.083333333336,12
38,78,0.6754435867037779,54435.75,36768.166666666664,12
39,79,0.6754028138563739,51856.25,35023.916666666664,12
40,80,0.6738589975254435,49229.833333333336,33175.0,12
41,81,0.6717955713726304,46615.333333333336,31316.5,12
42,82,0.6684802818170213,43846.083333333336,29310.666666666668,12
43,83,0.6673426177403571,41009.333333333336,27366.833333333332,12
44,84,0.6633620535045086,38185.416666666664,25333.166666666668,12
45,85,0.6580196202297707,35376.666666666664,23278.916666666668,12
46,86,0.6581688731625511,32443.25,21352.833333333332,12
47,87,0.6587244070716743,29450.833333333332,19399.583333333332,12
48,88,0.6578639580004548,26456.75,17405.833333333332,12
49,89,0.6530984289795498,23538.416666666668,15373.166666666666,12
50,90,0.650600822550821,20675.916666666668,13452.416666666666,12
51,91,0.6502269067947424,17898.25,11637.5,12
52,92,0.6449181779651469,15313.833333333334,9878.333333333334,12
53,93,0.6392289126638658,12957.25,8282.75,12
54,94,0.6400608116729886,10785.083333333334,6902.583333333333,12
55,95,0.6404856304857104,8786.5,5627.25,12
56,96,0.6390477654366454,7080.083333333333,4525.666666666667,12
57,97,0.6320664201510445,5596.666666666667,3537.5833333333335,12
58,98,0.6312794475988477,4343.5,2742.0833333333335,12
59,99,0.626191625972146,3280.0,2054.4166666666665,12
60,100,0.6238869262306724,910.6666666666666,568.1666666666666,6
