N,E,S1,S2
0.33515,0.15037,0.3525,0.16198
0.3351873712010564,0.15034713191012586,0.3525239591044597,0.16194153778435805
0.3352580909873306,0.15030122290494966,0.34988891779917136,0.1645517683085483
0.3360466164058511,0.1512430040348822,0.34984331040559075,0.16286706915367594
0.3365714915223683,0.15193638521396882,0.3497511291824819,0.16174099408118095
0.33756462148839816,0.15320803109846512,0.3495571674748527,0.15967017993828397
0.33794389151156146,0.1538623447695222,0.34924978200078177,0.15894398171813454
0.33679894126847265,0.15342583866375248,0.3533015179162239,0.15647370215155101
0.33721804888322787,0.15404134112950946,0.3530544495371438,0.15568616045011885
0.3383964043500943,0.15524298727878325,0.3531843171876881,0.15317629118343432
0.33249362692948475,0.16265882494630562,0.35318854252393667,0.15165900560027298
0.3336546184738956,0.16400602409638554,0.35244979919678715,0.14988955823293174
0.3338354623604081,0.16450751185024504,0.3522435124929702,0.14941351329637664
0.3362601593345322,0.16605551592843007,0.3491998111293061,0.14848451360773166
0.3369081241896415,0.16487592091905964,0.3506075804327943,0.1476083744585046
0.3379413657202606,0.16581878870747205,0.3501065712217486,0.1461332743505188
0.3355257864671333,0.1697139753801593,0.3494146753560222,0.14534556279668517
0.3366400386341228,0.1715194076101173,0.3487735678209952,0.14306698593476466
0.3372354024700802,0.17174808000080524,0.3485993819766681,0.14241713555244642
0.33895898577139577,0.17295860311961897,0.34757872053329575,0.14050369057568954
0.33566384251936776,0.1756646484591439,0.34889132909543336,0.13978017992605501
0.3373880093119816,0.17634313241355679,0.3480806635290798,0.1381881947453818
0.3381218811432028,0.177115782045466,0.3477796259892132,0.13698271082211805
0.33969342476805164,0.17792456635740217,0.3469039935457846,0.1354780153287616
0.3385088781275222,0.17617029862792574,0.3502017756255044,0.1351190476190476
0.3376931383531644,0.1802860112830139,0.3464127483928265,0.13560810197099518
0.33872465875131247,0.1811848800581536,0.3453174218560698,0.1347730393344641
0.33521533613445376,0.1810964770523594,0.3506787330316742,0.1330094537815126
0.33624652690073253,0.18162162162162163,0.3498055064410205,0.1323263450366254
0.338633055712784,0.18254224953505296,0.34862941699684646,0.13019527775531656
0.33863172157172033,0.18102489433557806,0.3508463265182309,0.12949705757447066
0.3387819507803728,0.18021909106541376,0.3533273317621355,0.12767162639207794
0.3398028779016818,0.17928194126813868,0.3541923863107405,0.126722794519439
0.34161327219539844,0.1801139756865365,0.352808397356088,0.12546435476197706
0.34217294451194813,0.1808829485621709,0.35236938031591736,0.12457472660996355
0.3441814295987926,0.18171320915251146,0.35095769141167055,0.12314766983702534
0.3451643953594407,0.1821064896904605,0.350260904807741,0.12246821014235777
