OHS,IHS,DT,DUT
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.993305045733843,0.006694954266156956,0.0
0.0,0.988536128715746,0.011423822825618999,4.004845863494829e-05
0.0,0.9792791258975874,0.02066078456900782,6.008953340477311e-05
0.0,0.9754137779024566,0.024455977237205946,0.0001302448603374344
0.0,0.9646991610788707,0.035070311012217976,0.0002305279089114071
0.0,0.9612901285316116,0.038338914399149805,0.0003709570692386357
0.0,0.951909093644378,0.04758943705055813,0.0005014693050638371
0.0,0.945613788675308,0.05375416348970665,0.0006320478349853525
0.0,0.9375740179449608,0.06169332985407174,0.0007326522009675024
0.0,0.9348293172690763,0.06410642570281125,0.0010642570281124497
0.0,0.9237567285289628,0.07497790632280871,0.0012653651482284888
0.0,0.9197098624659681,0.07875305156772722,0.0015370859663046644
0.0,0.9144462424492176,0.0837244831294664,0.0018292744213160724
0.0,0.9093038687364272,0.0885647068286013,0.002131424434971447
0.0,0.9004646391503741,0.09707136535521764,0.002463995494408239
0.0,0.8977805501338109,0.09933195162685876,0.002887498239330342
0.0,0.889812680550383,0.1070267441041178,0.0031605753454991997
0.0,0.8872889121612777,0.10907589595899585,0.0036351918797265046
0.0,0.8799451960952218,0.11609562475444023,0.003959179150337991
0.0,0.8744192608866538,0.12133794229393209,0.0042427968194140705
0.0,0.8686324915570341,0.12678058369877515,0.004586924744190735
0.0,0.8672650262202501,0.12779346510689793,0.004941508672851956
0.0,0.858091202582728,0.13669289749798225,0.00521589991928975
0.0,0.8540676375306548,0.14008901268582155,0.00584334978352357
0.0,0.8498808658428236,0.1437787739277926,0.006340360229383733
0.0,0.8467901583710408,0.1463821105365223,0.006827731092436975
0.0,0.8405759030058095,0.15216973983329124,0.007254357160899217
0.0,0.83840058219455,0.15373574836257783,0.00786366944287216
0.0,0.8313211591740985,0.16049869562579627,0.00818014520010516
0.0,0.8285303905404449,0.16275047287660702,0.008719136582948121
0.0,0.8236020319362085,0.1673615186901702,0.00903644937362126
0.0,0.8191977164373994,0.1713178059174233,0.00948447764517729
0.0,0.8152490886998784,0.17476711219117053,0.009983799108950992
0.0,0.8131514175453524,0.17628409654906965,0.010564485905578009
0.0,0.8056639140787274,0.18358579461978825,0.01075029130148437
0.0,0.802617042194991,0.18608163306676398,0.011301324738245102
0.0,0.7994281252851769,0.18854628230737253,0.012025592407450594
0.0,0.7969569407110615,0.19034335852310189,0.012699700765836588
0.0,0.7910117604083166,0.19586812919199195,0.01312011039969153
0.0,0.7883660727881834,0.19791888736612354,0.013715039845693113
0.0,0.7828060732239882,0.2030264561011527,0.014167470674859087
0.0,0.7805073811047781,0.20457801213081778,0.014914606764404077
0.0,0.7760509838998211,0.20851967799642218,0.015429338103756709
0.0,0.7721360654904155,0.21185742614531958,0.016006508364265013
0.0,0.7682094274929543,0.2150640471272905,0.016726525379755205
0.0,0.7667809996844815,0.21560085902433562,0.017618141291182787
0.0,0.7607754890081357,0.2211304462931096,0.018094064698754696
0.0,0.7573998248080018,0.22362443724663367,0.018975737945364543
0.0,0.7537475415515994,0.2268090613567578,0.019443397091642806
0.0,0.7511136481789177,0.22881520066054373,0.02007115116053863
0.0,0.7467978788496838,0.2326228839486029,0.020579237201713237
0.0,0.7454604806789896,0.23315787326070103,0.0213816460603093
0.0,0.7413949691310782,0.23697127404459412,0.021633756824327773
0.0,0.7387291734727214,0.23887210062071218,0.022398725906566483
0.0,0.7343328703325435,0.2430039218890432,0.02266320777841327
0.0,0.731344198640985,0.2456240739794615,0.023031727379553467
0.0,0.7283535401034532,0.24815481180102636,0.023491648095520436
0.0,0.7273656975138828,0.24809015882106297,0.024544143665054252
0.0,0.7216425239381291,0.25370324903838287,0.02465422702348801
0.0,0.7191481523174064,0.2556054729473889,0.025246374735204725
0.0,0.7170004505057952,0.25729000286685505,0.025709546627349797
0.0,0.71459445064681,0.25892884577960323,0.0264767035735868
0.0,0.7103817857655184,0.2628235342336619,0.026794680000819724
0.0,0.7082790926516261,0.26415809920150884,0.027562808146864973
0.0,0.7042429711051412,0.26785677665443064,0.027900252240428195
0.0,0.7024218613763886,0.26878455588950323,0.028793582734108137
0.0,0.6992857729250472,0.2714473360151055,0.029266891059847304
0.0,0.6967363741825536,0.27335817754370834,0.029905448273738026
0.0,0.6935543505052995,0.27624065401363895,0.03020499548106154
0.0,0.6921006123874892,0.2767868151740578,0.031112572438453
0.0,0.6877833170581282,0.28097856812458244,0.031238114817289407
0.0,0.6853158360244359,0.28268918279614125,0.031994981179422836
