N,E,S1,S2,D
0.38558,0.20498,0.27203,0.08693,0.05048
0.38612,0.2035,0.2694,0.08999,0.05099
0.38706,0.20292,0.26926,0.08933,0.05143
0.38751,0.2026,0.26872,0.08925,0.05192
0.38815,0.20248,0.26805,0.08898,0.05234
0.3885,0.20149,0.26812,0.08907,0.05282
0.38809,0.20257,0.26602,0.08996,0.05336
0.38818,0.20232,0.26618,0.0895,0.05382
0.38901,0.20179,0.26532,0.08944,0.05444
0.38932,0.20158,0.26471,0.08951,0.05488
0.3904,0.20034,0.26453,0.08938,0.05535
0.39052,0.2001,0.26417,0.08933,0.05588
0.39118,0.19981,0.26317,0.08931,0.05653
0.39134,0.19928,0.263,0.08936,0.05702
0.39224,0.19917,0.2618,0.08919,0.0576
0.38901,0.20055,0.26341,0.08901,0.05802
0.3892,0.20092,0.26264,0.08873,0.05851
0.38938,0.20047,0.26218,0.08889,0.05908
0.39021,0.20102,0.26124,0.08796,0.05957
0.3905,0.20074,0.26098,0.08771,0.06007
0.39038,0.20102,0.26055,0.08745,0.0606
0.38886,0.20231,0.26062,0.08713,0.06108
0.38946,0.20081,0.26157,0.08652,0.06164
0.38847,0.20127,0.26164,0.08651,0.06211
0.38906,0.20163,0.26053,0.08613,0.06265
0.38909,0.20128,0.26172,0.0847,0.06321
0.38949,0.20139,0.26112,0.0843,0.0637
0.38959,0.2008,0.26134,0.08405,0.06422
0.39027,0.20078,0.26043,0.08374,0.06478
0.3901,0.20071,0.26046,0.08336,0.06537
0.3905,0.20064,0.25987,0.08296,0.06603
0.39072,0.19909,0.25959,0.08409,0.06651
0.38992,0.19848,0.25964,0.08484,0.06712
0.3844,0.20246,0.26054,0.08488,0.06772
0.38314,0.20429,0.25942,0.08492,0.06823
0.38328,0.20381,0.25894,0.08529,0.06868
0.3835,0.20406,0.25804,0.08502,0.06938
0.38367,0.20257,0.25888,0.08491,0.06997
0.38449,0.20227,0.258,0.08467,0.07057
0.38543,0.20261,0.25398,0.08683,0.07115
0.38594,0.20257,0.25236,0.08728,0.07185
0.38643,0.20196,0.25175,0.0874,0.07246
0.38679,0.20079,0.25208,0.08724,0.0731
0.38659,0.19954,0.25527,0.08496,0.07364
0.38748,0.1971,0.25531,0.08575,0.07436
0.38733,0.19702,0.25507,0.08557,0.07501
0.38926,0.19759,0.25218,0.08535,0.07562
0.38565,0.20055,0.25137,0.08628,0.07615
0.38631,0.19988,0.25013,0.08694,0.07674
0.38662,0.19979,0.24926,0.08685,0.07748
0.38566,0.20076,0.24922,0.08627,0.07809
0.3858,0.20035,0.24916,0.08589,0.0788
