OHS,IHS,DT,DUT
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.993305045733843,0.006694954266156956,0.0
0.0,0.988536128715746,0.011413810710960261,5.0060573293685357e-05
0.0,0.9792791258975874,0.020650769646773693,7.010445563890197e-05
0.0,0.9754137779024566,0.024445958401795375,0.00014026369574800625
0.0,0.9646991610788707,0.035060288059656615,0.00024055086147277264
0.0,0.961299766394963,0.03829919491482941,0.0004010386902076378
0.0,0.9519186408039636,0.0475397669147293,0.0005415922813070427
0.0,0.945623275645849,0.053714572360170555,0.0006621519939804364
0.0,0.9375834278430704,0.06164376687375172,0.000772805283177936
0.0,0.9348387031998313,0.06403678751794696,0.001124509282221709
0.0,0.9237660055234748,0.07492844589505399,0.0013055485814712528
0.0,0.9197191022524062,0.07866342502360907,0.0016174727239848098
0.0,0.9144554336027018,0.08361476299601978,0.0019298034012784947
0.0,0.9093130108683631,0.08842484139830892,0.002262147733327971
0.0,0.9004736953264073,0.09691142601401977,0.00261487865957297
0.0,0.8977986155827431,0.09916291049581455,0.0030384739214423698
0.0,0.8898305937773662,0.10685778131196715,0.003311624910666653
0.0,0.8873067821358441,0.10889683298927547,0.003796384874880419
0.0,0.8799629260233123,0.1158964749498796,0.004140599026808112
0.0,0.8744368858654573,0.12109851347946586,0.004464600655076845
0.0,0.8686500055447461,0.1265311060256268,0.00481888842962709
0.0,0.8672912653670442,0.12753512107062537,0.005173613562330446
0.0,0.8581171746521787,0.13641454039165835,0.005468284956162918
0.0,0.8541021164074564,0.1397515214517122,0.0061463621408314245
0.0,0.8499151892088365,0.14349178143047533,0.006593029360688179
0.0,0.8468414779499404,0.146057655400901,0.007100866649158603
0.0,0.8406353568830329,0.15183695740037184,0.007527685716595263
0.0,0.8384599055888566,0.1533827290278887,0.008157365383254657
0.0,0.8313884113661644,0.1601071898068561,0.008504398826979473
0.0,0.8286058227284683,0.16235053715580552,0.009043640115726222
0.0,0.8236853823422257,0.16697364692547464,0.009340970732299721
0.0,0.8192806454551896,0.17089985118896978,0.00981950335584058
0.0,0.8153399021762245,0.17438151272417948,0.010278585099595946
0.0,0.8132502659170339,0.17582940789140455,0.010920326191561566
0.0,0.8057618840124439,0.18308117912913066,0.011156936858425464
0.0,0.8027228124239721,0.18552834320006487,0.01174884437596302
0.0,0.7995335158706014,0.1879626812696481,0.012503802859750533
0.0,0.7970863050249064,0.18966409317331007,0.013249601801783523
0.0,0.7911402039884305,0.19514893185162632,0.013710864159943168
0.0,0.7884941465544375,0.1971895338565728,0.014316319588989634
0.0,0.7829332954118376,0.2022671637091286,0.014799540879033814
0.0,0.7806263463805228,0.2038674145429419,0.015506239076535382
0.0,0.7761693216358813,0.20777887342557105,0.016051804938547715
0.0,0.772261719504877,0.2110578830134562,0.01668039748166682
0.0,0.7683423221736033,0.21428716800651268,0.017370509819883993
0.0,0.7669136958690473,0.21474234989922023,0.018343954231732393
0.0,0.7609072022160664,0.22021142251914616,0.018881375264787354
0.0,0.7575309949980135,0.22277686657633888,0.01969213842564766
0.0,0.7538781417534705,0.22592086756222354,0.02020099068430601
0.0,0.7512438318176257,0.22783532482362057,0.020920843358753723
0.0,0.7469273686035719,0.2316228593576288,0.021449772038799303
0.0,0.7455973880216304,0.23210896847260484,0.022293643505764717
0.0,0.7415311756840891,0.2359227165559264,0.022546107759984488
0.0,0.7388649498641943,0.23782343210733758,0.02331161802846815
0.0,0.7344678938443623,0.2419147240893211,0.02361738206631663
0.0,0.7314862130286368,0.2443738119085093,0.024139975062853872
0.0,0.7284950359395929,0.24691471631749537,0.024590247742911773
0.0,0.7275070578126918,0.24677795507548791,0.0257149871118203
0.0,0.7217828164488965,0.25233032854818743,0.02588685500291611
0.0,0.7192880099899691,0.2542221949272247,0.0264897950828062
0.0,0.717147304604293,0.2558577748648206,0.026994920530886448
0.0,0.7147408644340405,0.25749644002335753,0.02776269554260191
0.0,0.7105273945928219,0.2613606083587841,0.02811199704839404
0.0,0.7084243225786608,0.26264366048452414,0.02893201693681502
0.0,0.7043874223124731,0.26628104937132074,0.029331528316206182
0.0,0.7025732050150821,0.2671598300945971,0.030266964890320727
0.0,0.6994365011752389,0.26981226969936467,0.03075122912539645
0.0,0.696886616146058,0.27167149282237696,0.03144189103156511
0.0,0.6937182187066618,0.2744979197698906,0.03178386152344753
0.0,0.6922642110564126,0.27493037070533705,0.03280541823825038
0.0,0.6879459603956324,0.27920462256585304,0.03284941703851453
0.0,0.6854779808869367,0.2809352851014803,0.033586734011583054
