,age,cumulative_incidence,group
0,0.0,0.0,Overall
1,40.0,0.51448,Overall
2,40.083333333333336,0.51448,Overall
3,40.166666666666664,0.51448,Overall
4,40.25,0.51448,Overall
5,40.333333333333336,0.51448,Overall
6,40.416666666666664,0.51448,Overall
7,40.5,0.51448,Overall
8,40.583333333333336,0.5186272606103122,Overall
9,40.666666666666664,0.5186272606103122,Overall
10,40.75,0.5186272606103122,Overall
11,40.833333333333336,0.5186272606103122,Overall
12,40.916666666666664,0.5186272606103122,Overall
13,41.0,0.5186272606103122,Overall
14,41.083333333333336,0.5404330685664958,Overall
15,41.166666666666664,0.5436638028238012,Overall
16,41.25,0.545129217643723,Overall
17,41.333333333333336,0.5465246191742013,Overall
18,41.416666666666664,0.5479404745483473,Overall
19,41.5,0.5494571494732071,Overall
20,41.583333333333336,0.5511150346279108,Overall
21,41.666666666666664,0.5542607670782389,Overall
22,41.75,0.5559297128922691,Overall
23,41.833333333333336,0.5574581810800452,Overall
24,41.916666666666664,0.558926481815485,Overall
25,42.0,0.5633829892520403,Overall
26,42.083333333333336,0.566170848547997,Overall
27,42.166666666666664,0.5677614782542002,Overall
28,42.25,0.5747509356867827,Overall
29,42.333333333333336,0.5762922771735619,Overall
30,42.416666666666664,0.5779650595834653,Overall
31,42.5,0.5815334260902834,Overall
32,42.583333333333336,0.5869075601021352,Overall
33,42.666666666666664,0.589953086964161,Overall
34,42.75,0.5915367080737406,Overall
35,42.833333333333336,0.5930197912114459,Overall
36,42.916666666666664,0.5946344316291641,Overall
37,43.0,0.59605754606634,Overall
38,43.083333333333336,0.6015597488954081,Overall
39,43.166666666666664,0.6034178441458957,Overall
40,43.25,0.6051146251315701,Overall
41,43.333333333333336,0.6065390735007996,Overall
42,43.416666666666664,0.6082669065370445,Overall
43,43.5,0.609803273298485,Overall
44,43.583333333333336,0.6114413108658769,Overall
45,43.666666666666664,0.6143135302233498,Overall
46,43.75,0.6160738241521385,Overall
47,43.833333333333336,0.6175615570597339,Overall
48,43.916666666666664,0.6191106286656394,Overall
49,44.0,0.6208222406565861,Overall
50,44.083333333333336,0.622007646076578,Overall
51,44.166666666666664,0.623122398722267,Overall
52,44.25,0.624166605660575,Overall
53,44.333333333333336,0.6252414873431154,Overall
54,44.416666666666664,0.6263472390046279,Overall
55,44.5,0.6275444212739663,Overall
56,44.583333333333336,0.6286404758380648,Overall
57,44.666666666666664,0.6308536080487618,Overall
58,44.75,0.6319200354728212,Overall
59,44.833333333333336,0.6329359609634982,Overall
60,44.916666666666664,0.6338608371278666,Overall
