NHB (insured),NHB (uninsured),NHW (insured),NHW (uninsured)
0.0,,0.0,
0.0,,0.0,
0.0,,0.0,
0.002117757791257059,,0.0021377672209026127,
0.004000209161263334,,0.003404592240696754,
0.006928466847939761,,0.006149379783584059,
0.008131144112110437,,0.007468989179202956,
0.011059401798786865,,0.011084718923198733,
0.012445095168374817,,0.012325151755080496,
0.015399498012967998,,0.015307468989179203,
0.017229659067140767,,0.01728688308260755,
0.020523948964651748,,0.020374769068355766,
0.021465174649654886,,0.02124571126946424,
0.02993620581468312,,0.02876748482449195,
0.03205396360594018,,0.03056215360253365,
0.03485149550303284,,0.033597255212457114,
0.03743986613679147,,0.0359989443124835,
0.041387784982221294,,0.040089733438902084,
0.04308722024681029,,0.04130377408287147,
0.04729659067140766,,0.04523621008181578,
0.04910060656766367,,0.047136447611506996,
0.052630202886425434,,0.05117445236210082,
0.05521857352018406,,0.053391396146740565,
0.05877431499686258,,0.05690155713908683,
0.060186153524367285,,0.05806281340723146,
0.06656557205605522,,0.06334125098970704,
0.0698598619535662,,0.06587490102929533,
0.07396465174649655,,0.06991290577988915,
0.07663145785400544,,0.07231459487991554,
0.08141602175277139,,0.07709158089205595,
0.08363836017569547,,0.07928213248878332,
0.08925956912779753,,0.08400633412509897,
0.09234469776197449,,0.08659276854051201,
0.09668479397615562,,0.0907891264185801,
0.09966534197866556,,0.09356030614937978,
0.10468521229868229,,0.09778305621536025,
0.1075611796695252,,0.09994721562417525,
0.11276406609495922,,0.10424914225389285,
0.1161106463083037,,0.1070467141726049,
0.1195095168374817,,0.11039852203747691,
0.12186258104998954,,0.11229875956716812,
0.12677787073833927,,0.11697017682765902,
0.12920937042459738,,0.11934547373977303,
0.13396778916544655,,0.1241488519398258,
0.13681761137837273,,0.1264185801002903,
0.1410792721188036,,0.1297703879651623,
0.14424283622673081,,0.13209290050145156,
0.14819075507216065,,0.1362628661916073,
0.1503608031792512,,0.13803114278173662,
0.15472704455134909,,0.14206914753233044,
0.15757686676427526,,0.1449458960147796,
0.16162936624137209,,0.1486935866983373,
0.16385170466429616,,0.15106888361045132,
0.16793034929930978,,0.15539720242808128,
0.16962978456389877,,0.15695434151491158,
0.17376071951474586,,0.1610187384534178,
0.17624450951683748,,0.16405384006334126,
0.1800355574147668,,0.16737925574030088,
0.18236247646935788,,0.16988651359197676,
0.18576134699853586,,0.1732119292689364,
